# no	arxiv	source	title per Semantic Scholar	entry
1	2201.02177	id		Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization beyond overfitting
2		s2	A mechanistic interpretability analysis of grokking, 2022	Neel Nanda and Tom Lieberum. A mechanistic interpretability analysis of grokking, 2022. URL https://www.alignmentforum.o
3		s2	Grokking 'grokking	Beren Millidge. Grokking ’grokking’. https://beren.io/2022-01-11-Grokking-Grokking/, 2022.
4		s2	Alignment Newsletter #159	Rohin Shah. Alignment Newsletter #159. https://www.alignmentforum.org/posts/zvWqPmQasssaAWkrj/an-159-building-agents-tha
5	1506.02264	s2	Visual Learning of Arithmetic Operation	Yedid Hoshen and Shmuel Peleg. Visual learning of arithmetic operation. In *AAAI*, 2016.
6	2101.06317	id		Yang-Hui He. Machine-learning mathematical structures. *arXiv preprint arXiv:2101.06317*, 2021.
7	2010.16263	s2	Learning to unknot	Sergei Gukov, James Halverson, Fabian Ruehle, and Piotr Sułkowski. Learning to unknot. *Machine Learning: Science and Te
8		s2	Advancing mathematics by guiding human intuition with AI	Alex Davies, Petar Veličković, Lars Buesing, Sam Blackwell, Daniel Zheng, Nenad Tomašev, Richard Tanburn, Peter Battagli
9	1912.02292	s2	Deep double descent: where bigger models and more data hurt	Preetum Nakkiran, Gal Kaplun, Yamini Bansal, Tristan Yang, Boaz Barak, and Ilya Sutskever. Deep double descent: Where bi
10	2003.01897	id		Preetum Nakkiran, Prayaag Venkat, Sham Kakade, and Tengyu Ma. Optimal regularization can mitigate double descent. *arXiv
11	1206.5538	s2	Representation Learning: A Review and New Perspectives	Yoshua Bengio, Aaron Courville, and Pascal Vincent. Representation learning: A review and new perspectives. *IEEE transa
12	2006.05278	id		Yassine Ouali, Céline Hudelot, and Myriam Tami. An overview of deep semi-supervised learning. *arXiv preprint arXiv:2006
13	2006.07733	s2	Bootstrap Your Own Latent: A New Approach to Self-Supervised Learning	Jean-Bastien Grill, Florian Strub, Florent Altché, Corentin Tallec, Pierre Richemond, Elena Buchatskaya, Carl Doersch, B
14	2010.05113	s2	Contrastive Representation Learning: A Framework and Review	Phuc H Le-Khac, Graham Healy, and Alan F Smeaton. Contrastive representation learning: A framework and review. *IEEE Acc
15	2008.08601	s2	Neural networks and quantum field theory	James Halverson, Anindita Maiti, and Keegan Stoner. Neural networks and quantum field theory. *Machine Learning: Science
16	2106.10165	id		Daniel A Roberts, Sho Yaida, and Boris Hanin. The principles of deep learning theory. *arXiv preprint arXiv:2106.10165*,
17	2012.04728	id		Daniel Kunin, Javier Sagastuy-Brena, Surya Ganguli, Daniel LK Yamins, and Hidenori Tanaka. Neural mechanics: Symmetry an
18	2002.12406	s2	A Free-Energy Principle for Representation Learning	Yansong Gao and Pratik Chaudhari. A free-energy principle for representation learning. In *International Conference on M
