# no	arxiv	source	title per Semantic Scholar	entry
1	1811.04918	s2	Learning and Generalization in Overparameterized Neural Networks, Going Beyond Two Layers	Allen-Zhu, Z., Li, Y., and Liang, Y. Learning and generalization in overparameterized neural networks, going beyond two 
2	1802.05296	s2	Stronger generalization bounds for deep nets via a compression approach	Arora, S., Ge, R., Neyshabur, B., and Zhang, Y. Stronger generalization bounds for deep nets via a compression approach.
3		s2	Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering	Belkin, M. and Niyogi, P. Laplacian eigenmaps and spectral techniques for embedding and clustering. In Dietterich, T., B
4	2105.04026	s2	The Modern Mathematics of Deep Learning	Berner, J., Grohs, P., Kutyniok, G., and Petersen, P. The modern mathematics of deep learning. *arXiv preprint arXiv: Ar
5	1405.4980	s2	Convex Optimization: Algorithms and Complexity	Bubeck, S. et al. Convex optimization: Algorithms and complexity. *Foundations and Trends® in Machine Learning*, 8(3-4):
6	2008.01036	s2	Multiple Descent: Design Your Own Generalization Curve	Chen, L., Min, Y., Belkin, M., and Karbasi, A. Multiple descent: Design your own generalization curve. *Advances in Neur
7	1812.07956	s2	On Lazy Training in Differentiable Programming	Chizat, L., Oyallon, E., and Bach, F. On lazy training in differentiable programming. *Advances in Neural Information Pr
8	2103.00065	s2	Gradient Descent on Neural Networks Typically Occurs at the Edge of Stability	Cohen, J. M., Kaur, S., Li, Y., Kolter, J. Z., and Talwalkar, A. S. Gradient descent on neural networks typically occurs
9		s2	Comments on ‘maximum likelihood estimation of intrinsic dimension’ by elizaveta levina and peter bic	David J.C., M. and Zoubin, G. Comments on ‘maximum likelihood estimation of intrinsic dimension’ by elizaveta levina and
10	1703.04933	s2	Sharp Minima Can Generalize For Deep Nets	Dinh, L., Pascanu, R., Bengio, S., and Bengio, Y. Sharp minima can generalize for deep nets. In Precup, D. and Teh, Y. W
11		s2	Hessian eigenmaps: Locally linear embedding techniques for high-dimensional data	Donoho, D. L. and Grimes, C. Hessian eigenmaps: Locally linear embedding techniques for high-dimensional data. *Proceedi
12	1703.11008	s2	Computing Nonvacuous Generalization Bounds for Deep (Stochastic) Neural Networks with Many More Para	Dziugaite, G. K. and Roy, D. M. Computing nonvacuous generalization bounds for deep (stochastic) neural networks with ma
13	1803.06992	s2	Estimating the intrinsic dimension of datasets by a minimal neighborhood information	Facco, E., d’Errico, M., Rodriguez, A., and Laio, A. Estimating the intrinsic dimension of datasets by a minimal neighbo
14		s2	The inverse variance–flatness relation in stochastic gradient descent is critical for finding flat m	Feng, Y. and Tu, Y. **[p. 9]** The inverse variance–flatness relation in stochastic gradient descent is critical for fin
15	1412.6544	s2	Qualitatively characterizing neural network optimization problems	Goodfellow, I. J. and Vinyals, O. Qualitatively characterizing neural network optimization problems. In Bengio, Y. and L
16	1303.5778	s2	Speech recognition with deep recurrent neural networks	Graves, A., Mohamed, A., and Hinton, G. E. Speech recognition with deep recurrent neural networks. *CoRR*, abs/1303.5778
17	1512.03385	s2	Deep Residual Learning for Image Recognition	He, K., Zhang, X., Ren, S., and Sun, J. Deep residual learning for image recognition. *CoRR*, abs/1512.03385, 2015. URL 
