# no	arxiv	source	title per Semantic Scholar	entry
1	1803.08375	id		A. F. Agarap. Deep learning using rectified linear units (ReLU). *arXiv preprint arXiv:1803.08375*, 2018.
2	1706.05394	s2	A Closer Look at Memorization in Deep Networks	Devansh Arpit, Stanislaw Jastrzkebski, Nicolas Ballas, David Krueger, Emmanuel Bengio, Maxinder S Kanwal, Tegan Maharaj,
3		s2	A Spline Theory of Deep Networks	Randall Balestriero and Richard Baraniuk. A spline theory of deep networks. In *Proc. ICML*, pp. 374–383, 2018.
4	2209.14778	id		Randall Balestriero and Richard G Baraniuk. Batch normalization explained. *arXiv preprint arXiv:2209.14778*, 2022.
5	1905.08443	s2	The Geometry of Deep Networks: Power Diagram Subdivision	Randall Balestriero, Romain Cosentino, Behnaam Aazhang, and Richard Baraniuk. The geometry of deep networks: Power diagr
6	2110.09485	id		Randall Balestriero, Jerome Pesenti, and Yann LeCun. Learning in high dimension always amounts to extrapolation. *arXiv 
7	2009.11162	s2	Implicit Gradient Regularization	David G. T. Barrett and Benoit Dherin. Implicit gradient regularization. *CoRR*, abs/2009.11162, 2020. URL https://arxiv
8	1905.12173	s2	On the Inductive Bias of Neural Tangent Kernels	Alberto Bietti and Julien Mairal. On the inductive bias of neural tangent kernels. *Advances in Neural Information Proce
9		—		Florian Bordes, Randall Balestriero, Quentin Garrido, Adrien Bardes, and Pascal Vincent. Guillotine regularization: Why 
10	2303.01986	id		Florian Bordes, Randall Balestriero, and Pascal Vincent. Towards democratizing joint-embedding self-supervised learning.
11	2302.02774	s2	The SSL Interplay: Augmentations, Inductive Bias, and Generalization	Vivien Cabannes, Bobak Kiani, Randall Balestriero, Yann LeCun, and Alberto Bietti. The ssl interplay: Augmentations, ind
12		s2	A Course In Approximation Theory , volume 101	Elliott Ward Cheney and William Allan Light. *A Course In Approximation Theory*, volume 101. American Mathematical Soc.,
