# no	arxiv	source	title per Semantic Scholar	entry
1	1810.03292	s2	Sanity Checks for Saliency Maps	Adebayo, J., Gilmer, J., Muelly, M., Goodfellow, I., Hardt, M., and Kim, B. Sanity checks for saliency maps, 2020.
2	2104.07143	s2	An Interpretability Illusion for BERT	Bolukbasi, T., Pearce, A., Yuan, A., Coenen, A., Reif, E., Viégas, F., and Wattenberg, M. An interpretability illusion f
3		—		Casper, S., Li, Y., Li, J., Bu, T., Zhang, K., Hariharan, K., and Hadfield-Menell, D. Red teaming deep neural networks w
4	2302.03025	id		Chughtai, B., Chan, L., and Nanda, N. A Toy Model of Universality: Reverse Engineering How Networks Learn Group Operatio
5		—		Clausen, M. and Baum, U. Fast Fourier Transforms for Symmetric Groups: Theory and Implementation. *Mathematics of Comput
6		—		Cohen, T. and Welling, M. Group Equivariant Convolutional Networks. In *Proceedings of The 33rd International Conference
7	2304.14997	id		Conmy, A., Mavor-Parker, A. N., Lynch, A., Heimersheim, S., and Garriga-Alonso, A. Towards Automated Circuit Discovery f
8		s2	Group representations in probability and statistics	Diaconis, P. *Group Representations in Probability and Statistics*, volume 11 of *Institute of Mathematical Statistics L
9	1702.08608	s2	Towards A Rigorous Science of Interpretable Machine Learning	Doshi-Velez, F. and Kim, B. Towards a rigorous science of interpretable machine learning, 2017.
10		s2	Abstract Algebra	Dummit, D. S. and Foote, R. M. *Abstract Algebra*. Wiley, 3rd edition, July 2003. ISBN 978-0-471-43334-7.
11		s2	Fourier Analysis: An Introduction	Elias M. Stein, R. S. *Fourier analysis: an introduction*. Princeton lectures in analysis 1. Princeton University Press,
12	1011.3342	id		Ellis, D., Friedgut, E., and Pilpel, H. Intersecting Families of Permutations, July 2017. URL http://arxiv.org/abs/1011.
13		s2	On an Elementary Proof of Some Asymptotic Formulas in the Theory of Partitions	Erdos, P. On an elementary proof of some asymptotic formulas in the theory of partitions. *Annals of Mathematics*, 43(3)
14		—		Friedman, D., Lampinen, A., Dixon, L., Chen, D., and Ghandeharioun, A. Interpretability illusions in the generalization 
15		s2	Representation theory	Fulton, W. and Harris, Joe. *Representation Theory*. Graduate Texts in Mathematics. Springer, New York, NY, October 1991
16		—		GAP. Gap – groups, algorithms, and programming, version 4.12.2, 2023. URL https://www.gap-system.org.
17		—		Geiger, A., Potts, C., and Icard, T. Causal abstraction for faithful model interpretation, 2023.
18	2012.14913	s2	Transformer Feed-Forward Layers Are Key-Value Memories	Geva, M., Schuster, R., Berant, J., and Levy, O. Transformer feed-forward layers are key-value memories, 2021.
19		—		Goldowsky-Dill, N., MacLeod, C., Sato, L., and Arora, A. Localizing model behavior with path patching, 2023.
20	2301.02679	id		Gromov, A. Grokking modular arithmetic, January 2023. URL http://arxiv.org/abs/2301.02679. arXiv:2301.02679 [cond-mat].
21	2305.00586	id		Hanna, M., Liu, O., and Variengien, A. How does GPT-2 compute greater-than?: Interpreting mathematical abilities in a pr
22	2006.10256	s2	Array programming with NumPy	Harris, C. R., Millman, K. J., van der Walt, S. J., Gommers, R., Virtanen, P., Cournapeau, D., Wieser, E., Taylor, J., B
23	2301.04213	s2	Does Localization Inform Editing? Surprising Differences in Causality-Based Localization vs. Knowled	Hase, P., Bansal, M., Kim, B., and Ghandeharioun, A. Does localization inform editing? surprising differences in causali
