# no	arxiv	source	title per Semantic Scholar	entry
1		s2	Syntax Directed Translations and the Pushdown Assembler	Alfred V. Aho and Jeffrey D. Ullman. Syntax directed translations and the pushdown assembler. *J. Comput. Syst. Sci.*, 3
2	1610.01644	s2	Understanding intermediate layers using linear classifier probes	Guillaume Alain and Yoshua Bengio. Understanding intermediate layers using linear classifier probes, 2017. URL https://o
3	2305.13673	s2	Physics of Language Models: Part 1, Learning Hierarchical Language Structures	Zeyuan Allen-Zhu and Yuanzhi Li. Physics of Language Models: Part 1, Learning Hierarchical Language Structures. *ArXiv e
4		s2	Bayesian Theory of Mind: Modeling Joint Belief-Desire Attribution	Chris Baker, Rebecca Saxe, and Joshua Tenenbaum. Bayesian theory of mind: Modeling joint belief-desire attribution. In *
5		s2	Trainable grammars for speech recognition	James K. Baker. Trainable grammars for speech recognition. *Journal of the Acoustical Society of America*, 65, 1979. URL
6	2403.03942	s2	The Heuristic Core: Understanding Subnetwork Generalization in Pretrained Language Models	Adithya Bhaskar, Dan Friedman, and Danqi Chen. The heuristic core: Understanding subnetwork generalization in pretrained
7	2211.12316	s2	Simplicity Bias in Transformers and their Ability to Learn Sparse Boolean Functions	Satwik Bhattamishra, Arkil Patel, Varun Kanade, and Phil Blunsom. Simplicity bias in transformers and their ability to l
8	2005.14165	s2	Language Models are Few-Shot Learners	Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Sh
9	2309.07311	s2	Sudden Drops in the Loss: Syntax Acquisition, Phase Transitions, and Simplicity Bias in MLMs	Angelica Chen, Ravid Shwartz-Ziv, Kyunghyun Cho, Matthew L Leavitt, and Naomi Saphra. Sudden drops in the loss: Syntax a
10	1707.05436	s2	Improved Neural Machine Translation with a Syntax-Aware Encoder and Decoder	Huadong Chen, Shujian Huang, David Chiang, and Jiajun Chen. Improved neural machine translation with a syntax-aware enco
11	1802.03691	s2	Tree-to-tree Neural Networks for Program Translation	Xinyun Chen, Chang Liu, and Dawn Song. Tree-to-tree neural networks for program translation. In S. Bengio, H. Wallach, H
12	1406.1078	s2	Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation	Kyunghyun Cho, Bart van Merriënboer, Caglar Gulcehre, Dzmitry Bahdanau, Fethi Bougares, Holger Schwenk, and Yoshua Bengi
13		—		Noam Chomsky. *Language and Mind*. Cambridge University Press, 1 edition, 1968.
14		s2	Language and Learning: The Debate Between Jean Piaget and Noam Chomsky	Noam Chomsky. *Language and Learning: The Debate Between Jean Piaget and Noam Chomsky*. Harvard University Press, 1980.
15		s2	Deep neural networks are biased towards simple functions	Giacomo De Palma, Bobak Kiani, and Seth Lloyd. Random deep neural networks are biased towards simple functions. *Advance
16	1810.04805	s2	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. BERT: Pre-training of deep bidirectional transformers 
