# no	arxiv	source	title per Semantic Scholar	entry
1	2208.03113	id		Emmanuel Abbe and Enric Boix-Adsera “On the non-universality of deep learning: quantifying the cost of symmetry” In *Neu
2		s2	PyTorch 2: Faster Machine Learning Through Dynamic Python Bytecode Transformation and Graph Compilat	Jason Ansel, Edward Yang, Horace He, Natalia Gimelshein, Animesh Jain, Michael Voznesensky, Bin Bao, Peter Bell, David B
3	1905.13655	id		Sanjeev Arora, Nadav Cohen, Wei Hu and Yuping Luo “Implicit Regularization in Deep Matrix Factorization” In *NeurIPS*, 2
4	1904.11955	id		Sanjeev Arora, Simon S Du, Wei Hu, Zhiyuan Li, Russ R Salakhutdinov and Ruosong Wang “On exact computation with an infin
5	2207.08799	id		Boaz Barak, Benjamin Edelman, Surbhi Goel, Sham Kakade, Eran Malach and Cyril Zhang “Hidden progress in deep learning: S
6	2211.12316	id		Satwik Bhattamishra, Arkil Patel, Varun Kanade and Phil Blunsom “Simplicity Bias in Transformers and their Ability to Le
7	1904.09080	id		Guy Blanc, Neha Gupta, Gregory Valiant and Paul Valiant “Implicit regularization for deep neural networks driven by an O
8		s2	“JAX: composable transformations of Python+NumPy programs	James Bradbury, Roy Frostig, Peter Hawkins, Matthew James Johnson, Chris Leary, Dougal Maclaurin, George Necula, Adam Pa
9	2308.15594	id		François Charton “Learning the greatest common divisor: explaining transformer predictions” In *ICLR*, 2024 arXiv:2308.1
10	1812.07956	id		Lenaic Chizat, Edouard Oyallon and Francis Bach “On Lazy Training in Differentiable Programming” In *NeurIPS*, 2019 arXi
11		—		Richard Courant and David Hilbert “Methods of Mathematical Physics” Interscience Publishers, 1953
12	2106.06530	id		Alex Damian, Tengyu Ma and Jason D. Lee “Label Noise SGD Provably Prefers Flat Global Minimizers” In *NeurIPS*, 2021 arX
13	2010.15110	id		Stanislav Fort, Gintare Karolina Dziugaite, Mansheej Paul, Sepideh Kharaghani, Daniel M. Roy and Surya Ganguli “Deep lea
