# no	arxiv	source	title per Semantic Scholar	entry
1	2206.05317	s2	Intrinsic dimensionality and generalization properties of the R-norm inductive bias	N. Ardeshir, D. J. Hsu, and C. H. Sanford. Intrinsic dimensionality and generalization properties of the r-norm inductiv
2	2307.15936	id		S. Arora and A. Goyal. A theory for emergence of complex skills in language models. *arXiv preprint arXiv:2307.15936*, 2
3	2207.08799	s2	Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit	B. Barak, B. Edelman, S. Goel, S. Kakade, E. Malach, and C. Zhang. Hidden progress in deep learning: Sgd learns parities
4	2103.09177	s2	Deep learning: a statistical viewpoint	P. L. Bartlett, A. Montanari, and A. Rakhlin. Deep learning: a statistical viewpoint. *Acta numerica*, 30:87–201, 2021.
5	2402.05271	id		D. Beaglehole, I. Mitliagkas, and A. Agarwala. Feature learning as alignment: a structural property of gradient descent 
6	2309.00570	id		D. Beaglehole, A. Radhakrishnan, P. Pandit, and M. Belkin. Mechanism of feature learning in convolutional neural network
7	2402.13728	id		D. Beaglehole, P. Súkeník, M. Mondelli, and M. Belkin. Average gradient outer product as a mechanism for deep neural col
8	2105.14368	s2	Fit without fear: remarkable mathematical phenomena of deep learning through the prism of interpolat	M. Belkin. Fit without fear: remarkable mathematical phenomena of deep learning through the prism of interpolation. *Act
9	2206.15144	s2	Neural Networks can Learn Representations with Gradient Descent	A. Damian, J. Lee, and M. Soltanolkotabi. Neural networks can learn representations with gradient descent. In *Conferenc
10	2303.06173	s2	Unifying Grokking and Double Descent	X. Davies, L. Langosco, and D. Krueger. Unifying grokking and double descent. *ML Safety Workshop, 36th Conference on Ne
11	2312.16616	id		I. Diakonikolas, D. M. Kane, V. Kontonis, C. Tzamos, and N. Zarifis. Agnostically learning multi-index models with queri
12	2406.03495	s2	Grokking Modular Polynomials	D. Doshi, T. He, A. Das, and A. Gromov. Grokking modular polynomials. *International Conference on Learning Representati
13	2402.16726	id		H. Furuta, G. Minegishi, Y. Iwasawa, and Y. Matsuo. Interpreting grokked transformers in complex modular arithmetic. *ar
14		s2	Toeplitz and Circulant Matrices: A Review	R. M. Gray et al. Toeplitz and circulant matrices: A review. *Foundations and Trends® in Communications and Information 
15	2301.02679	id		A. Gromov. Grokking modular arithmetic. *arXiv preprint arXiv:2301.02679*, 2023.
16	1705.09280	s2	Implicit Regularization in Matrix Factorization	S. Gunasekar, B. E. Woodworth, S. Bhojanapalli, B. Neyshabur, and N. Srebro. Implicit regularization in matrix factoriza
17	1908.02729	id		J. Hoffman, D. A. Roberts, and S. Yaida. Robust learning with jacobian regularization. *arXiv preprint arXiv:1908.02729*
18		s2	Structure adaptive approach for dimension reduction	M. Hristache, A. Juditsky, J. Polzehl, and V. Spokoiny. Structure adaptive approach for dimension reduction. *Annals of 
19		s2	A Course in Number Theory and Cryptography	N. Koblitz. *A course in number theory and cryptography*, volume 114. Springer Science & Business Media, 1994.
20	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	T. Kumar, B. Bordelon, S. J. Gershman, and C. Pehlevan. Grokking as the transition from lazy to rich training dynamics. 
21	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Z. Liu, O. Kitouni, N. S. Nolte, E. Michaud, M. Tegmark, and M. Williams. Towards understanding grokking: An effective t
22	2210.01117	s2	Omnigrok: Grokking Beyond Algorithmic Data	Z. Liu, E. J. Michaud, and M. Tegmark. Omnigrok: Grokking beyond algorithmic data. *International Conference on Learning
23	1711.05101	id		I. Loshchilov and F. Hutter. Decoupled weight decay regularization. *arXiv preprint arXiv:1711.05101*, 2017.
24	2311.18817	s2	Dichotomy of Early and Late Phase Implicit Biases Can Provably Induce Grokking	K. Lyu, J. Jin, Z. Li, S. S. Du, J. D. Lee, and W. Hu. Dichotomy of early and late phase implicit biases can provably in
25	2310.17247	s2	Grokking Beyond Neural Networks: An Empirical Exploration with Model Complexity	J. Miller, C. O’Neill, and T. Bui. Grokking beyond neural networks: An empirical exploration with model complexity. *Tra
26		—		M. A. Mohamadi, Z. Li, L. Wu, and D. J. Sutherland. Why do you grok? a theoretical analysis on grokking modular addition
27		s2	Foundations of Machine Learning	M. Mohri, A. Rostamizadeh, and A. Talwalkar. *Foundations of machine learning*. MIT Press, 2018.
28		s2	Algorithmic Aspects of Machine Learning	A. Moitra. *Algorithmic aspects of machine learning*. Cambridge University Press, 2018.
29	2311.07568	s2	Feature emergence via margin maximization: case studies in algebraic tasks	D. Morwani, B. L. Edelman, C.-A. Oncescu, R. Zhao, and S. Kakade. Feature emergence via margin maximization: case studie
30	2209.14863	id		A. Mousavi-Hosseini, S. Park, M. Girotti, I. Mitliagkas, and M. A. Erdogdu. Neural networks efficiently learn low-dimens
31	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt. Progress measures for grokking via mechanistic interpretabi
32	2305.15598	id		S. Parkinson, G. Ongie, and R. Willett. Relu neural networks with linear layers are biased towards single- and multi-ind
33	2201.02177	id		A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra. Grokking: Generalization beyond overfitting on small algori
34	2212.13881	id		A. Radhakrishnan, D. Beaglehole, P. Pandit, and M. Belkin. Mechanism of feature learning in deep fully connected network
35		s2	Mechanism for feature learning in neural networks and backpropagation-free machine learning models	A. Radhakrishnan, D. Beaglehole, P. Pandit, and M. Belkin. Mechanism for feature learning in neural networks and backpro
36	2401.04553	id		A. Radhakrishnan, M. Belkin, and D. Drusvyatskiy. Linear recursive feature machines provably recover low-rank matrices. 
37	2308.07120	s2	Position: Key Claims in LLM Research Have a Long Tail of Footnotes	A. Rogers and S. Luccioni. Position: Key claims in llm research have a long tail of footnotes. In *Forty-first Internati
38	2304.15004	s2	Are Emergent Abilities of Large Language Models a Mirage?	R. Schaeffer, B. Miranda, and S. Koyejo. Are emergent abilities of large language models a mirage? In *Thirty-seventh Co
39	2206.04817	id		V. Thilak, E. Littwin, S. Zhai, O. Saremi, R. Paiss, and J. Susskind. The slingshot mechanism: An empirical study of ada
40		s2	A Consistent Estimator of the Expected Gradient Outerproduct	S. Trivedi, J. Wang, S. Kpotufe, and G. Shakhnarovich. A consistent estimator of the expected gradient outerproduct. In 
41	2210.03651	id		A. Trockman, D. Willmott, and J. Z. Kolter. Understanding the covariance structure of convolutional filters. *arXiv prep
42	2309.02390	s2	Explaining grokking through circuit efficiency	V. Varma, R. Shah, Z. Kenton, J. Kramár, and R. Kumar. Explaining grokking through circuit efficiency. *International Co
43	2206.07682	s2	Emergent Abilities of Large Language Models	J. Wei, Y. Tay, R. Bommasani, C. Raffel, B. Zoph, S. Borgeaud, D. Yogatama, M. Bosma, D. Zhou, D. Metzler, E. H. Chi, T.
44	2312.15469	id		G. Yuan, M. Xu, S. Kpotufe, and D. Hsu. Efficient estimation of the central mean subspace via smoothed gradient outer pr
45	2306.17844	s2	The Clock and the Pizza: Two Stories in Mechanistic Explanation of Neural Networks	Z. Zhong, Z. Liu, M. Tegmark, and J. Andreas. The clock and the pizza: Two stories in mechanistic explanation of neural 
46	2306.04815	s2	Catapults in SGD: spikes in the training loss and their impact on generalization through feature lea	L. Zhu, C. Liu, A. Radhakrishnan, and M. Belkin. Catapults in sgd: spikes in the training loss and their impact on gener
