# no	arxiv	source	title per Semantic Scholar	entry
1	2312.09832	s2	Disentangling Linear Mode-Connectivity	Gül Sena Altıntaş, Gregor Bachmann, Lorenzo Noci, and Thomas Hofmann. Disentangling linear mode connectivity. In *UniRep
2	2302.00704	s2	Pathologies of Predictive Diversity in Deep Ensembles	Taiga Abe, E Kelly Buchanan, Geoff Pleiss, and John Patrick Cunningham. Pathologies of predictive diversity in deep ense
3	2209.04836	id		Samuel K Ainsworth, Jonathan Hayase, and Siddhartha Srinivasa. Git re-basin: Merging models modulo permutation symmetrie
4	2011.03321	s2	Understanding Double Descent Requires a Fine-Grained Bias-Variance Decomposition	Ben Adlam and Jeffrey Pennington. Understanding double descent requires a fine-grained bias-variance decomposition. *Adv
5	1710.03667	s2	High-dimensional dynamics of generalization error in neural networks	Madhu S Advani, Andrew M Saxe, and Haim Sompolinsky. High-dimensional dynamics of generalization error in neural network
6		s2	Introduction to Statistical Learning Theory	Olivier Bousquet, Stéphane Boucheron, and Gábor Lugosi. Introduction to statistical learning theory. In *Summer school o
7		s2	On the layered nearest neighbour estimate, the bagged nearest neighbour estimate and the random fore	Gérard Biau and Luc Devroye. On the layered nearest neighbour estimate, the bagged nearest neighbour estimate and the ra
8	2105.14368	s2	Fit without fear: remarkable mathematical phenomena of deep learning through the prism of interpolat	Mikhail Belkin. Fit without fear: remarkable mathematical phenomena of deep learning through the prism of interpolation.
9	1812.11118	s2	Reconciling modern machine-learning practice and the classical bias–variance trade-off	Mikhail Belkin, Daniel Hsu, Siyuan Ma, and Soumik Mandal. Reconciling modern machine-learning practice and the classical
10	1903.07571	s2	Two models of double descent for weak features	Mikhail Belkin, Daniel Hsu, and Ji Xu. Two models of double descent for weak features. *SIAM Journal on Mathematics of D
11	1906.11300	s2	Benign overfitting in linear regression	Peter L Bartlett, Philip M Long, Gábor Lugosi, and Alexander Tsigler. Benign overfitting in linear regression. *Proceedi
12	1905.12173	s2	On the Inductive Bias of Neural Tangent Kernels	Alberto Bietti and Julien Mairal. On the inductive bias of neural tangent kernels. *Advances in Neural Information Proce
13	1802.01396	s2	To understand deep learning we need to understand kernel learning	Mikhail Belkin, Siyuan Ma, and Soumik Mandal. To understand deep learning we need to understand kernel learning. In *Int
14	2005.14165	s2	Language Models are Few-Shot Learners	Tom B Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shy
15		s2	Dynamics of Training	Siegfried Bös and Manfred Opper. Dynamics of training. *Advances in Neural Information Processing Systems*, 9, 1996.
16		—		Leo Breiman. Random forests. *Machine learning*, 45:5–32, 2001.
17	2209.07509	id		Frederik Benzing, Simon Schug, Robert Meier, Johannes Von Oswald, Yassir Akram, Nicolas Zucchet, Laurence Aitchison, and
18	2310.18988	s2	A U-turn on Double Descent: Rethinking Parameter Counting in Statistical Learning	Alicia Curth, Alan Jeffares, and Mihaela van der Schaar. A u-turn on double descent: Rethinking parameter counting in st
19	2402.01502	id		Alicia Curth, Alan Jeffares, and Mihaela van der Schaar. Why do random forests work? understanding tree ensembles as sel
