# no	arxiv	source	title per Semantic Scholar	entry
1	2201.02177	id		[1] Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization beyond overfit
2	2303.06173	id		[2] Xander Davies, Lauro Langosco, and David Krueger. Unifying grokking and double descent. arXiv preprint arXiv:2303.06
3	2301.05217	id		[3] Neel Nanda, Lawrence Chan, Tom Liberum, Jess Smith, and Jacob Steinhardt. Progress measures for grokking via mechani
4	2206.04817	id		[4] Vimal Thilak, Etai Littwin, Shuangfei Zhai, Omid Saremi, Roni Paiss, and Joshua Susskind. The slingshot mechanism: A
5	2309.02390	id		[5] Vikrant Varma, Rohin Shah, Zachary Kenton, János Kramár, and Ramana Kumar. Explaining grokking through circuit effic
6	2210.01117	id		[6] Ziming Liu, Eric J Michaud, and Max Tegmark. Omnigrok: Grokking beyond algorithmic data. arXiv preprint arXiv:2210.0
7	2205.10343	id		[7] Ziming Liu, Ouail Kitouni, Niklas Nolte, Eric J Michaud, Max Tegmark, and Mike Williams. Towards understanding grokk
8	2301.02679	id		[8] Andrey Gromov. Grokking modular arithmetic. arXiv preprint arXiv:2301.02679, 2023.
9		—		[9] Schaeffer, R., Miranda, B., and Koyejo, S. Are emergent abilities of large language models a mirage? In Thirty seven
10		—		[10] Michaud, E. J., Liu, Z., Girit, U., and Tegmark, M. The quantization model of neural scaling. In Thirty-seventh Con
11	2310.06110	id		[11] Kumar, Tanishq, Blake Bordelon, Samuel J. Gershman, and Cengiz Pehlevan. "Grokking as the transition from lazy to r
12		—		[12] Loshchilov, I. and Hutter, F. Decoupled weight decay regularization. In 7th International Conference on Learning Re
13	2403.19896	id		[13] David Yevick, “Nonlinearity Enhanced Adaptive Activation Function,” arXiv preprint arXiv:2403.19896, 2024.
14	2207.08799	id		[14] Boaz Barak, Benjamin L Edelman, Surbhi Goel, Sham Kakade, Eran Malach, and Cyril Zhang. Hidden progress in deep lea
15		—		[15] Pascal Jr. Tikeng Notsawo, Hattie Zhou, Mohammad Pezeshki, Irina Rish, and Guillaume Dumas. Predicting grokking lon
