# no	arxiv	source	title per Semantic Scholar	entry
1	2104.13478	s2	Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges	Bronstein, M. M., Bruna, J., Cohen, T., and Velickovic, P. Geometric deep learning: Grids, groups, graphs, geodesics, an
2		s2	Neural-Symbolic Cognitive Reasoning	d’Avila Garcez, A. S., Lamb, L. C., and Gabbay, D. M. *Neural-Symbolic Cognitive Reasoning*. Cognitive Technologies. Spr
3	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	Kumar, T., Bordelon, B., Gershman, S. J., and Pehlevan, C. Grokking as the transition from lazy to rich training dynamic
4	2310.16441	s2	Grokking in Linear Estimators - A Solvable Model that Groks without Understanding	Levi, N., Beck, A., and Bar-Sinai, Y. Grokking in linear estimators - A solvable model that groks without understanding.
5	1405.0312	s2	Microsoft COCO: Common Objects in Context	Lin, T.-Y., Maire, M., Belongie, S., Hays, J., Perona, P., Ramanan, D., Dollár, P., and Zitnick, C. L. Microsoft coco: C
6	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Liu, Z., Kitouni, O., Nolte, N. S., Michaud, E., Tegmark, M., and Williams, M. Towards understanding grokking: An effect
7	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	Nanda, N., Chan, L., Lieberum, T., Smith, J., and Steinhardt, J. Progress measures for grokking via mechanistic interpre
8	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	Power, A., Burda, Y., Edwards, H., Babuschkin, I., and Misra, V. Grokking: Generalization beyond overfitting on small al
9		—		Quiñonero-Candela, J., Sugiyama, M., Schwaighofer, A., and Lawrence, N. D. *Dataset shift in machine learning*. MIT Pres
10	1810.11953	s2	Failing Loudly: An Empirical Study of Methods for Detecting Dataset Shift	Rabanser, S., Günnemann, S., and Lipton, Z. Failing loudly: An empirical study of methods for detecting dataset shift. I
11	2304.15004	s2	Are Emergent Abilities of Large Language Models a Mirage?	Schaeffer, R., Miranda, B., and Koyejo, S. Are emergent abilities of large language models a mirage? In Oh, A., Naumann,
12		s2	Learning Large DAGs is Harder than you Think: Many Losses are Minimal for the Wrong DAG	Seng, J., Zečević, M., Dhami, D. S., and Kersting, K. Learning large DAGs is harder than you think: Many losses are mini
13	2210.15435	id		Žunkovič, B. and Ilievski, E. Grokking phase transitions in learning local rules with gradient descent. *arXiv preprint 
