# no	arxiv	source	title per Semantic Scholar	entry
1	2201.02177	id		[1] Power, A., Burda, Y., Edwards, H., Babuschkin, I. and Misra, V., 2022. “Grokking: Generalization beyond overfitting 
2	2210.01117	id		[2] Liu, Z., Michaud, E.J. and Tegmark, M., 2022. “Omnigrok: Grokking beyond algorithmic data,” arXiv preprint arXiv:221
3	2310.02541	id		[3] Xu, Z., Wang, Y., Frei, S., Vardi, G. and Hu, W., 2023. “Benign overfitting and grokking in relu networks for xor cl
4	2402.15555	id		[4] Humayun, A.I., Balestriero, R. and Baraniuk, R., 2024. “Deep networks always grok and here is why,” arXiv preprint a
5	2309.02390	id		[5] Varma, V., Shah, R., Kenton, Z., Kramár, J. and Kumar, R., 2023. “Explaining grokking through circuit efficiency,” a
6		s2	Grokking and the Geometry of Circuit Formation	[6] Humayun, A.I., Balestriero, R. and Baraniuk, R., “Grokking and the Geometry of Circuit Formation,” In ICML 2024 Work
7	2407.12332	id		[7] Mohamadi, M.A., Li, Z., Wu, L. and Sutherland, D.J., 2024. “Why do you grok? a theoretical analysis of grokking modu
8	2301.05217	id		[8] Nanda, N., Chan, L., Lieberum, T., Smith, J. and Steinhardt, J., 2023, “Progress measures for grokking via mechanist
9		s2	Zoom In: An Introduction to Circuits	[9] Olah, C., Cammarata, N., Schubert, L., Goh, G., Petrov, M. and Carter, S., 2020, “Zoom in: An introduction to circui
10	2207.08799	s2	Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit	[10] Barak, B., Edelman, B., Goel, S., Kakade, S., Malach, E. and Zhang, C., 2022. “Hidden progress in deep learning: Sg
11	2310.05918	id		[11] Liu, Z., Zhong, Z. and Tegmark, M., 2023. “Grokking as compression: A nonlinear complexity perspective,” arXiv prep
12	1912.02292	s2	Deep double descent: where bigger models and more data hurt	[12] Nakkiran, P., Kaplun, G., Bansal, Y., Yang, T., Barak, B. and Sutskever, I., 2021, “Deep double descent: Where bigg
13	2003.01054	s2	Double Trouble in Double Descent : Bias and Variance(s) in the Lazy Regime	[13] d’Ascoli, S., Refinetti, M., Biroli, G. and Krzakala, F., 2020, November, “Double trouble in double descent: Bias a
14	2004.04328	s2	A brief prehistory of double descent	[14] Loog, M., Viering, T., Mey, A., Krijthe, J.H. and Tax, D.M., 2020, “A brief prehistory of double descent,” Proceedi
15	physics/0004057	s2	The information bottleneck method	[15] Tishby, N., Pereira, F.C. and Bialek, W., 2000, “The information bottleneck method,” arXiv preprint physics/0004057
16	1503.02406	s2	Deep learning and the information bottleneck principle	[16] Tishby, N. and Zaslavsky, N., 2015, April, “Deep learning and the information bottleneck principle,” In 2015 ieee i
17	1703.00810	id		[17] Shwartz-Ziv, R. and Tishby, N., 2017, “Opening the black box of deep neural networks via information,” arXiv prepri
18		s2	The renormalization group: Critical phenomena and the Kondo problem	[18] Wilson, K.G., 1975, “The renormalization group: Critical phenomena and the Kondo problem,” Reviews of modern physic
19	1410.3831	id		[19] P. Mehta, and D.J. Schwab, 2014. “An exact mapping between the variational renormalization group and deep learning.
20	1704.06279	s2	Mutual information, neural networks and the renormalization group	[20] M. Koch-Janusz and Z. Ringel, “Mutual information, neural networks and the renormalization group.” Nature Physics 1
21		s2	Is Deep Learning a Renormalization Group Flow?	[21] E. de Mello Koch, R. de Mello Koch and L. Cheng, 2020, “Is deep learning a renormalization group flow?” IEEE Access
22	2002.02664	s2	Short sighted deep learning	[22] E. de Mello Koch, A. de Mello Koch, N. Kastanos, and L. Cheng, 2020, “Short-sighted deep learning,” Physical Review
23	2012.03531	id		[23] A. de Mello Koch, E. de Mello Koch and R. de Mello Koch, 2020, “Why unsupervised deep networks generalize,” arXiv p
