# no	arxiv	source	title per Semantic Scholar	entry
1	2201.02177	id		L. Prieto, J. Frankle, et al., *Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets*, arXiv:2201.0
2		s2	Muon Optimizer (Original GitHub Repo)	K. Jordan, *Muon Optimizer (Original GitHub Repo)*, GitHub repository, November 2024. https://github.com/KellerJordan/Mu
3	2502.16982	id		J. Liu, A. Smith, et al., *Muon is Scalable for LLM Training*, arXiv:2502.16982 [cs.LG], February 2025. https://arxiv.or
4	2501.04697	id		A. Power, B. Lee, et al., *Grokking at the Edge of Numerical Stability*, arXiv:2501.04697 [cs.LG], January 2025. https:/
5	1602.02068	id		A. F. T. Martins, E. Niculescu-Mizil, and A. D. Magalhães, *From Softmax to Sparsemax: A Sparse Model of Attention and M
6	2301.05217	id		N. Nanda, L. Chan, T. Liberum, J. Smith, and J. Steinhardt, *Progress measures for grokking via mechanistic interpretabi
7	2205.10343	id		Z. Liu, Y. Wang, J. D. Hopkins, and T. Xiao, *Towards Understanding Grokking: An Effective Theory of Representation Lear
8	2208.06791	id		V. Thiry, G. Kerg, and F. Ollivier, *Grokking of Modular Arithmetic in Transformers: A Study on the Role of Training Dat
9	2206.02840	id		B. Barak, B. Bartal, D. J. Lee, and M. Wein, *Grokking as Phase Transition: A Simple Model*, arXiv:2206.02840 [cs.LG], J
10	2309.03840	id		B. Chughtai, L. Chan, and J. Nanda, *Grokking Shows Long Optimization Dynamics* arXiv:2309.03840 [cs.LG], September 2023
11	2310.03133	id		A. Davies, L. Chan, B. Chughtai, et al. *Grokking as Competition of Functions* arXiv:2310.03133 [cs.LG], October 2023. h
12	2305.11779	id		V. Varela, O. Henaff, and R. Pascanu, *Grokking Neural Network Dynamics: The Role of Initialization and Data* arXiv:2305
13		s2	PyTorch Grokking Experiments Codebase	A. Tveit, *PyTorch Grokking Experiments Codebase*, GitHub repository, 2024. https://github.com/atveit/torch_grokking
14		—		Stockeh, *MLX Grokking Implementation*, GitHub repository, 2023. https://github.com/stockeh/mlx-grokking
