# no	arxiv	source	title per Semantic Scholar	entry
1	2303.06173	id		X. Davies, L. Langosco, and D. Krueger. Unifying grokking and double descent. *arXiv preprint arXiv:2303.06173*, 2023.
2	2406.03495	id		D. Doshi, T. He, A. Das, and A. Gromov. Grokking modular polynomials. *arXiv preprint arXiv:2406.03495*, 2024.
3	2405.19454	id		S. Fan, R. Pascanu, and M. Jaggi. Deep grokking: Would deep neural networks generalize better? *arXiv preprint arXiv:240
4	2301.02679	id		A. Gromov. Grokking modular arithmetic. *arXiv preprint arXiv:2301.02679*, 2023.
5		s2	Improving Transformer Optimization Through Better Initialization	X. S. Huang, F. Perez, J. Ba, and M. Volkovs. Improving transformer optimization through better initialization. In *Inte
6	2402.15555	id		A. I. Humayun, R. Balestriero, and R. Baraniuk. Deep networks always grok and here is why. *arXiv preprint arXiv:2402.15
7	2411.00247	s2	Deep Learning Through A Telescoping Lens: A Simple Model Provides Empirical Insights On Grokking, Gr	A. Jeffares, A. Curth, and M. van der Schaar. Deep learning through a telescoping lens: A simple model provides empirica
8	2410.23819	s2	Weight decay induces low-rank attention layers	S. Kobayashi, Y. Akram, and J. Von Oswald. Weight decay induces low-rank attention layers. *Advances in Neural Informati
9	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	T. Kumar. *Grokking as the transition from lazy to rich training dynamics*. PhD thesis, none, 2024.
10	2304.13960	id		F. Kunstner, J. Chen, J. W. Lavington, and M. Schmidt. Noise is not the main factor behind the gap between sgd and adam 
11	2405.20233	id		J. Lee, B. G. Kang, K. Kim, and K. M. Lee. Grokfast: Accelerated grokking by amplifying slow gradients. *arXiv preprint 
12	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Z. Liu, O. Kitouni, N. S. Nolte, E. Michaud, M. Tegmark, and M. Williams. Towards understanding grokking: An effective t
13	2210.01117	s2	Omnigrok: Grokking Beyond Algorithmic Data	Z. Liu, E. J. Michaud, and M. Tegmark. Omnigrok: Grokking beyond algorithmic data. In *The Eleventh International Confer
14	2311.18817	id		K. Lyu, J. Jin, Z. Li, S. S. Du, J. D. Lee, and W. Hu. Dichotomy of early and late phase implicit biases can provably in
15	2407.12332	id		M. A. Mohamadi, Z. Li, L. Wu, and D. J. Sutherland. Why do you grok? a theoretical analysis of grokking modular addition
16	1912.02292	s2	Deep double descent: where bigger models and more data hurt	P. Nakkiran, G. Kaplun, Y. Bansal, T. Yang, B. Barak, and I. Sutskever. Deep double descent: Where bigger models and mor
17	2301.05217	id		N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt. Progress measures for grokking via mechanistic interpretabi
18	2306.00204	id		Y. Pan and Y. Li. Toward understanding why adam converges faster than sgd for transformers. *arXiv preprint arXiv:2306.0
19	2201.02177	id		A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra. Grokking: Generalization beyond overfitting on small algori
20	2501.04697	id		L. Prieto, M. Barsbey, P. A. Mediano, and T. Birdal. Grokking at the edge of numerical stability. *arXiv preprint arXiv:
21	2309.02390	id		V. Varma, R. Shah, Z. Kenton, J. Kramár, and R. Kumar. Explaining grokking through circuit efficiency. *arXiv preprint a
22	1706.03762	s2	Attention is All you Need	A. Vaswani. Attention is all you need. *Advances in Neural Information Processing Systems*, 2017.
23	2504.13292	id		Z. Xu, Z. Ni, Y. Wang, and W. Hu. Let me grok for you: Accelerating grokking via embedding transfer from a weaker model.
24		s2	Tensor Programs IV: Feature Learning in Infinite-Width Neural Networks	G. Yang and E. J. Hu. Tensor programs iv: Feature learning in infinite-width neural networks. In M. Meila and T. Zhang, 
25		s2	Why are Adaptive Methods Good for Attention Models?	J. Zhang, S. P. Karimireddy, A. Veit, S. Kim, S. Reddi, S. Kumar, and S. Sra. Why are adaptive methods good for attentio
26	2402.16788	id		Y. Zhang, C. Chen, T. Ding, Z. Li, R. Sun, and Z.-Q. Luo. Why transformers need adam: A hessian perspective. *arXiv prep
