# no	arxiv	source	title per Semantic Scholar	entry
1	0706.1062	s2	Power-Law Distributions in Empirical Data	Aaron Clauset, Cosma Rohilla Shalizi, and Mark E.J. Newman. Power-law distributions in empirical data. *SIAM Review*, 51
2	2405.12755	s2	Progress Measures for Grokking on Real-world Tasks	Satvik Golechha. Progress measures for grokking on real-world tasks, 2024.
3	2104.06153	s2	The Impact of Activation Sparsity on Overfitting in Convolutional Neural Networks	Karim Huesmann, Luis Garcia Rodriguez, Lars Linsen, and Benjamin Risse. The impact of activation sparsity on overfitting
4		—		Ahmed Imtiaz Humayun, Randall Balestriero, and Richard Baraniuk. Deep networks always grok and here is why, 2024.
5	2210.06313	id		Zonglin Li, Chong You, Srinadh Bhojanapalli, Daliang Li, Ankit Singh Rawat, Sashank J. Reddi, Ke Ye, Felix Chern, Felix 
6	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Ziming Liu, Ouail Kitouni, Niklas S. Nolte, Eric J. Michaud, Max Tegmark, and Mike Williams. Towards understanding grokk
7		s2	DISTRIBUTION OF EIGENVALUES FOR SOME SETS OF RANDOM MATRICES	Vladimir A. Marchenko and Leonid Andreevich Pastur. Distribution of eigenvalues for some sets of random matrices. *Matem
8		s2	WeightWatcher: Analyze Deep Learning Models without Training or Data	Charles H. Martin. WeightWatcher: Analyze Deep Learning Models without Training or Data. https://github.com/CalculatedCo
9	2507.17912	s2	SETOL: A Semi-Empirical Theory of (Deep) Learning	Charles H. Martin, Christopher Hinrichs, and Michael W. Mahoney. SETOL: A Semi-Empirical Theory of (Deep) Learning. http
10		s2	Implicit self-regularization in deep neural networks: Evidence from heavy-tailed spectral analysis	Charles H. Martin and Michael W. Mahoney. Implicit self-regularization in deep neural networks: Evidence from heavy-tail
11		s2	Predicting trends in the quality of state-of-the-art deep learning models	Charles H. Martin and Michael W. Mahoney. Predicting trends in the quality of state-of-the-art deep learning models, 202
12	2303.11873	s2	A Tale of Two Circuits: Grokking as Competition of Sparse and Dense Subnetworks	William Merrill, Nikolaos Tsilivis, and Aman Shukla. A tale of two circuits: grokking as competition of sparse and dense
13		—		Neel Nanda, Lawrence Chan, Tom Lieberum, Jess Smith, and Jacob Steinhardt. Progress measures for grokking via mechanisti
14		—		Ze Peng, Lei Qi, Yinghuan Shi, and Yang Gao. Theoretical explanation of activation sparsity through flat minima and adve
15		—		Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization beyond overfitting
16	2309.02390	s2	Explaining grokking through circuit efficiency	Vikrant Varma, Rohin Shah, Zachary Kenton, János Kramár, and Ramana Kumar. Explaining grokking through circuit efficienc
