# no	arxiv	source	title per Semantic Scholar	entry
1		s2	Gradient-based learning applied to document recognition	[1] Y. Lecun, L. Bottou, Y. Bengio, and P. Haffner. Gradient-based learning applied to document recognition. *Proceeding
2	2302.12828	s2	SplineCam: Exact Visualization and Characterization of Deep Network Geometry and Decision Boundaries	[2] Ahmed Imtiaz Humayun, Randall Balestriero, Guha Balakrishnan, and Richard Baraniuk. SplineCam: Exact Visualization a
3	1905.08443	s2	The Geometry of Deep Networks: Power Diagram Subdivision	[3] Randall Balestriero, Romain Cosentino, B. Aazhang, and Richard Baraniuk. The Geometry of Deep Networks: Power Diagra
4	2201.02177	id		[4] Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization Beyond Overfit
5		s2	Loss landscape geometry reveals stagewise development of transformers	[5] George Wang, Matthew Farrugia-Roberts, Jesse Hoogland, Liam Carroll, Susan Wei, and Daniel Murfet. Loss landscape ge
6	2210.01117	s2	Omnigrok: Grokking Beyond Algorithmic Data	[6] Ziming Liu, Eric J. Michaud, and Max Tegmark. Omnigrok: Grokking Beyond Algorithmic Data. In *The Eleventh Internati
7	2402.15555	s2	Deep Networks Always Grok and Here is Why	[7] Ahmed Imtiaz Humayun, Randall Balestriero, and Richard Baraniuk. Deep Networks Always Grok and Here is Why. In *High
8	1805.12152	s2	Robustness May Be at Odds with Accuracy	[8] Dimitris Tsipras, Shibani Santurkar, Logan Engstrom, Alexander Turner, and Aleksander Madry. Robustness may be at od
9	1901.08573	s2	Theoretically Principled Trade-off between Robustness and Accuracy	[9] Hongyang Zhang, Yaodong Yu, Jiantao Jiao, Eric Xing, Laurent El Ghaoui, and Michael Jordan. Theoretically Principled
10	2311.18817	s2	Dichotomy of Early and Late Phase Implicit Biases Can Provably Induce Grokking	[10] Kaifeng Lyu, Jikai Jin, Zhiyuan Li, Simon Shaolei Du, Jason D. Lee, and Wei Hu. Dichotomy of Early and Late Phase I
11	2310.03789	s2	Grokking as a First Order Phase Transition in Two Layer Networks	[11] Noa Rubin, Inbar Seroussi, and Zohar Ringel. Grokking as a First Order Phase Transition in Two Layer Networks. In *
12	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	[12] Tanishq Kumar, Blake Bordelon, Samuel J. Gershman, and Cengiz Pehlevan. Grokking as the transition from lazy to ric
13	1806.07572	s2	Neural Tangent Kernel: Convergence and Generalization in Neural Networks	[13] Arthur Jacot, Franck Gabriel, and Clément Hongler. Neural tangent kernel: convergence and generalization in neural 
14	2112.15383	s2	Separation of scales and a thermodynamic description of feature learning in some CNNs	[14] Inbar Seroussi, Gadi Naveh, and Zohar Ringel. Separation of scales and a thermodynamic description of feature learn
