# no	arxiv	source	title per Semantic Scholar	entry
1	2011.03321	s2	Understanding Double Descent Requires a Fine-Grained Bias-Variance Decomposition	Adlam, B. and Pennington, J. Understanding double descent requires a fine-grained bias-variance decomposition. *Advances
2		s2	How do machines ‘grok’ data?	Ananthaswamy, A. How do machines ‘grok’ data? *Quanta Magazine*, pp. 477–486, 2024.
3	2305.00550	s2	SoK: Pragmatic Assessment of Machine Learning for Network Intrusion Detection	Apruzzese, G., Laskov, P., and Schneider, J. Sok: Pragmatic assessment of machine learning for network intrusion detecti
4	1906.11300	s2	Benign overfitting in linear regression	Bartlett, P. L., Long, P. M., Lugosi, G., and Tsigler, A. Benign overfitting in linear regression. *Proceedings of the N
5	1812.11118	s2	Reconciling modern machine-learning practice and the classical bias–variance trade-off	Belkin, M., Hsu, D., Ma, S., and Mandal, S. Reconciling modern machine-learning practice and the classical bias–variance
6	2503.05788	id		Berti, L., Giorgi, F., and Kasneci, G. Emergent abilities in large language models: A survey. *arXiv preprint arXiv:2503
7	2106.15590	s2	The Values Encoded in Machine Learning Research	Birhane, A., Kalluri, P., Card, D., Agnew, W., Dotan, R., and Bao, M. The values encoded in machine learning research. I
8		s2	A beginner's guide to scientific method	Carey, S. S. and Carey, S. *A beginner’s guide to scientific method*. Wadsworth Publishing Company Belmont, CA, 1994.
9	2308.15594	s2	Learning the greatest common divisor: explaining transformer predictions	Charton, F. Learning the greatest common divisor: explaining transformer predictions. In *The Twelfth International Conf
10	2202.04736	s2	Coarsening the Granularity: Towards Structurally Sparse Lottery Tickets	Chen, T., Chen, X., Ma, X., Wang, Y., and Wang, Z. Coarsening the granularity: Towards structurally sparse lottery ticke
11	2402.01502	id		Curth, A., Jeffares, A., and van der Schaar, M. Why do random forests work? understanding tree ensembles as self-regular
12	2310.18988	s2	A U-turn on Double Descent: Rethinking Parameter Counting in Statistical Learning	Curth, A., Jeffares, A., and van der Schaar, M. A u-turn on double descent: Rethinking parameter counting in statistical
13	2011.03395	s2	Underspecification Presents Challenges for Credibility in Modern Machine Learning	D’Amour, A., Heller, K., Moldovan, D., Adlam, B., Alipanahi, B., Beutel, A., Chen, C., Deaton, J., Eisenstein, J., Hoffm
14	2205.14135	s2	FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness	Dao, T., Fu, D., Ermon, S., Rudra, A., and Ré, C. Flashattention: Fast and memory-efficient exact attention with io-awar
15		s2	How we Think	Dewey, J. *How We Think*. D.C. Heath & Company, 1910. ISBN 9781519501868. URL https://books.google.co.uk/books?id=WF0AAA
