# no	arxiv	source	title per Semantic Scholar	entry
1	2201.02177	id		[1] Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization beyond overfit
2	2210.01117	id		[2] Ziming Liu, Eric J Michaud, and Max Tegmark. Omnigrok: Grokking beyond algorithmic data. arXiv preprint arXiv:2210.0
3	2309.02390	id		[3] Vikrant Varma, Rohin Shah, Zachary Kenton, János Kramár, and Ramana Kumar. Explaining grokking through circuit effic
4	2411.05353	id		[4] Ahmed Salah, and David Yevick. “Controlling Grokking with Nonlinearity and Data Symmetry.” arXiv preprint arXiv:2411
5	2205.10343	id		[5] Ziming Liu, Ouail Kitouni, Niklas Nolte, Eric J Michaud, Max Tegmark, and Mike Williams. Towards understanding grokk
6	1908.10084	id		[6] Nils Reimers, and Iryna Gurevych. “Sentence-bert: Sentence embeddings using siamese bert-networks.” arXiv preprint a
7	2502.12717	id		[7] Max Petschack, Alexandr Garbali, and Jan de Gier. “Learning the symmetric group: large from small.” arXiv preprint a
8	2405.19454	id		[8] Simin Fan, Razvan Pascanu, and Martin Jaggi. “Deep Grokking: Would Deep Neural Networks Generalize Better?.” arXiv p
9	2207.08799	s2	Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit	[9] Boaz Barak, Benjamin Edelman, Surbhi Goel, Sham Kakade, Eran Malach, and Cyril Zhang. Hidden progress in deep learni
10	2301.05217	id		[10] Neel Nanda, Lawrence Chan, Tom Liberum, Jess Smith, and Jacob Steinhardt. Progress measures for grokking via mechan
11	2301.02679	id		[11] Andrey Gromov. Grokking modular arithmetic. arXiv preprint arXiv:2301.02679, 2023.
12	2309.02390	id		[12] Vikrant Varma, Rohin Shah, Zachary Kenton, János Kramár, and Ramana Kumar. Explaining grokking through circuit effi
13	2405.12755	id		[13] Satvik Golechha, “Progress Measures for Grokking on Real-world Tasks.” arXiv preprint arXiv:2405.12755, 2024.
14	2303.11873	id		[14] William Merrill, Nikolaos Tsilivis, and Aman Shukla. “A tale of two circuits: Grokking as competition of sparse and
15	2310.13061	id		[15] Doshi Darshil, Aritra Das, Tianyu He, and Andrey Gromov. “To grok or not to grok: Disentangling generalization and 
16	1506.02142	s2	Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning	[16] Yarin Gal and Zoubin Ghahramani. Dropout as a Bayesian approximation: Representing model uncertainty in deep learni
17	2306.13253	s2	Predicting Grokking Long Before it Happens: A look into the loss landscape of models which grok	[17] Pascal Jr. Tikeng Notsawo, Hattie Zhou, Mohammad Pezeshki, Irina Rish, and Guillaume Dumas. Predicting grokking lon
