# no	arxiv	source	title per Semantic Scholar	entry
1	2303.07507	s2	Loss of Plasticity in Continual Deep Reinforcement Learning	Zaheer Abbas, Rosie Zhao, Joseph Modayil, Adam White, and Marlos C Machado. Loss of plasticity in continual deep reinfor
2	1711.08856	id		Alessandro Achille, Matteo Rovere, and Stefano Soatto. Critical learning periods in deep neural networks. *arXiv preprin
3	2210.04860	id		Atish Agarwala, Fabian Pedregosa, and Jeffrey Pennington. Second-order regression models exhibit progressive sharpening 
4	1812.03981	s2	Theoretical Analysis of Auto Rate-Tuning by Batch Normalization	Sanjeev Arora, Zhiyuan Li, and Kaifeng Lyu. Theoretical analysis of auto rate-tuning by batch normalization. In *Interna
5		s2	On Warm-Starting Neural Network Training	Jordan Ash and Ryan P Adams. On warm-starting neural network training. *Advances in Neural Information Processing System
6	2009.11162	id		David GT Barrett and Benoit Dherin. Implicit gradient regularization. *arXiv preprint arXiv:2009.11162*, 2020.
7		s2	Unveiling grokking: Analyzing feature learning dynamics during training	Javier Sanguino Bautiste, Gregor Bachmann, Bobby He, Lorenzo Noci, and Thomas Hofmann. Unveiling grokking: Analyzing fea
8	1812.11118	s2	Reconciling modern machine-learning practice and the classical bias–variance trade-off	Mikhail Belkin, Daniel Hsu, Siyuan Ma, and Soumik Mandal. Reconciling modern machine-learning practice and the classical
9	1207.4708	s2	The Arcade Learning Environment: An Evaluation Platform for General Agents	Marc G Bellemare, Yavar Naddaf, Joel Veness, and Michael Bowling. The arcade learning environment: An evaluation platfor
10	2106.00042	id		Tudor Berariu, Wojciech Czarnecki, Soham De, Jorg Bornschein, Samuel Smith, Razvan Pascanu, and Claudia Clopath. A study
11	2103.00065	id		Jeremy M Cohen, Simran Kaur, Yuanzhi Li, J Zico Kolter, and Ameet Talwalkar. Gradient descent on neural networks typical
12	2303.06173	id		Xander Davies, Lauro Langosco, and David Krueger. Unifying grokking and double descent. *arXiv preprint arXiv:2303.06173
13	2108.06325	id		Shibhansh Dohare, A Rupam Mahmood, and Richard S Sutton. Continual backprop: Stochastic gradient descent with persistent
14		s2	Loss of plasticity in deep continual learning	Shibhansh Dohare, Juan Hernandez-Garcia, Parash Rahman, Richard Sutton, and A Rupam Mahmood. Loss of plasticity in deep 
