# no	arxiv	source	title per Semantic Scholar	entry
1	2307.02337	s2	FAM: Relative Flatness Aware Minimization	FAM: relative flatness aware minimization. In Topological, Algebraic and Geometric Learning Workshops, Cited by: §7.
2		—		Layer-wise linear mode connectivity. In International Conference on Learning Representations, Cited by: §7.
3	2303.00596	s2	Information Plane Analysis for Dropout Neural Networks	Information plane analysis for dropout neural networks. In International Conference on Learning Representations, Cited b
4	2302.07011	s2	A modern look at the relationship between sharpness and generalization	A modern look at the relationship between sharpness and generalization. In International Conference on Machine Learning,
5	2206.06232	s2	Towards Understanding Sharpness-Aware Minimization	Towards understanding sharpness-aware minimization. In International conference on machine learning, Cited by: §7, §7.
6	1905.12784	s2	Intrinsic dimension of data representations in deep neural networks	Intrinsic dimension of data representations in deep neural networks. In Advances in Neural Information Processing System
7	2301.00437	s2	Neural Collapse in Deep Linear Networks: From Balanced to Imbalanced Data	Neural collapse in deep linear networks: from balanced to imbalanced data. In International Conference on Machine Learni
8	1703.04933	s2	Sharp Minima Can Generalize For Deep Nets	Sharp minima can generalize for deep nets. In International Conference on Machine Learning, Cited by: §2, §7.
9	2010.11929	s2	An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale	An image is worth 16x16 words: transformers for image recognition at scale. In International Conference on Learning Repr
10	2101.12699	s2	Exploring deep neural networks via layer-peeled model: Minority collapse in imbalanced training	Exploring deep neural networks via layer-peeled model: minority collapse in imbalanced training. Proceedings of the Nati
11	2010.01412	s2	Sharpness-Aware Minimization for Efficiently Improving Generalization	Sharpness-aware minimization for efficiently improving generalization. In International Conference on Learning Represent
12	2112.15121	s2	On the Role of Neural Collapse in Transfer Learning	On the role of neural collapse in transfer learning. In International Conference on Learning Representations, Cited by: 
13		s2	Grokking tickets: Lottery tickets	Grokking tickets: lottery tickets accelerate grokking. CoRR. Cited by: §2.
14	2102.08817	s2	Dissecting Supervised Contrastive Learning	Dissecting supervised contrastive learning. In International Conference on Machine Learning, Cited by: §2.
15	2301.02679	id		Grokking modular arithmetic. arXiv preprint arXiv:2301.02679. Cited by: §2.
16	2106.02073	s2	Neural Collapse Under MSE Loss: Proximity to and Dynamics on the Central Path	Neural collapse under mse loss: proximity to and dynamics on the central path. In International Conference on Learning R
17		—		Flat minima. Neural computation 9 (1). Cited by: §2, §3, §7.
18	2309.09725	s2	Neural Collapse for Unconstrained Feature Model under Cross-entropy Loss with Imbalanced Data	Neural collapse for unconstrained feature model under cross-entropy loss with imbalanced data. Journal of Machine Learni
19	2202.08384	id		Limitations of neural collapse for understanding generalization in deep learning. arXiv preprint arXiv:2202.08384. Cited
