# no	arxiv	source	title per Semantic Scholar	entry
1	2505.20172	s2	A Theoretical Framework for Grokking: Interpolation followed by Riemannian Norm Minimisation	A theoretical framework for grokking: interpolation followed by riemannian norm minimisation. Advances in Neural Informa
2	1911.09793	s2	Multiple points of Gaussian random fields	Multiple points of gaussian random fields. Cited by: §5.
3	1702.08608	id		Towards a rigorous science of interpretable machine learning. arXiv preprint arXiv:1702.08608. Cited by: §1.
4	2301.02679	id		Grokking modular arithmetic. arXiv preprint arXiv:2301.02679. Cited by: §1.
5		s2	Ridge Regression: Biased Estimation for Nonorthogonal Problems	Ridge regression: biased estimation for nonorthogonal problems. Technometrics 12 (1), pp. 55–67. Cited by: §6.2.
6	2402.15555	id		Deep networks always grok and here is why. arXiv preprint arXiv:2402.15555. Cited by: §1.
7		s2	Toward a unified framework for interpreting machine-learning models in neuroimaging	Toward a unified framework for interpreting machine-learning models in neuroimaging. Nature protocols 15 (4), pp. 1399–1
8		s2	A Simple Weight Decay Can Improve Generalization	A simple weight decay can improve generalization. Advances in neural information processing systems 4. Cited by: §4.1.
9	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Towards understanding grokking: an effective theory of representation learning. Advances in Neural Information Processin
10	2210.01117	s2	Omnigrok: Grokking Beyond Algorithmic Data	Omnigrok: grokking beyond algorithmic data. In The Eleventh International Conference on Learning Representations, Cited 
11		s2	Neural embeddings evolve as interacting particles	R. Mehta, Z. Liu, and M. Tegmark Neural embeddings evolve as interacting particles. Cited by: §1.
12		s2	The Behavior of a Function on Its Critical Set	The behavior of a function on its critical set. Annals of Mathematics 40 (1), pp. 62–70. Cited by: Appendix B.
13		—		Brownian motion. Vol. 30, Cambridge University Press. Cited by: §5.
14	2408.09414	id		Clustering and alignment: understanding the training dynamics in modular addition. arXiv preprint arXiv:2408.09414. Cite
15	2301.05217	id		Progress measures for grokking via mechanistic interpretability. arXiv preprint arXiv:2301.05217. Cited by: §1.
16	2201.02177	id		Grokking: generalization beyond overfitting on small algorithmic datasets. arXiv preprint arXiv:2201.02177. Cited by: §1
17		s2	Regularized least-squares classification	Regularized least-squares classification. Nato Science Series Sub Series III Computer and Systems Sciences 190, pp. 131–
18		s2	The measure of the critical values of differentiable maps	The measure of the critical values of differentiable maps. Cited by: Appendix B, §4.4.
19	1803.09820	id		A disciplined approach to neural network hyper-parameters: part 1–learning rate, batch size, momentum, and weight decay.
20	2310.13018	id		Getting aligned on representational alignment. arXiv preprint arXiv:2310.13018. Cited by: §1.
21	2402.09142	id		When representations align: universality in representation learning dynamics. arXiv preprint arXiv:2402.09142. Cited by:
22	2306.17844	s2	The Clock and the Pizza: Two Stories in Mechanistic Explanation of Neural Networks	The clock and the pizza: two stories in mechanistic explanation of neural networks. Advances in Neural Information Proce
