# no	arxiv	source	title per Semantic Scholar	entry
1		s2	Über die Reaktionsgeschwindigkeit bei der Inversion von Rohrzucker durch Säuren	Arrhenius (1889) S. Arrhenius Über die reaktionsgeschwindigkeit bei der inversion von rohrzucker durch säuren. Zeitschri
2	2310.06301	id		Chen et al. (2023) Z. Chen, E. Lau, J. Mendel, S. Wei, and D. Murfet Dynamical versus bayesian phase transitions in a to
3	2209.10652	id		Elhage et al. (2022) N. Elhage, T. Hume, C. Olsson, N. Schiefer, T. Henighan, S. Kravec, Z. Hatfield-Dodds, R. Lasenby, 
4		s2	Neural Networks Generalize Because of This One Weird Trick	Hoogland (2023) J. Hoogland Neural networks generalize because of this one weird trick (Website) Note: LessWrong Externa
5		s2	Nonlinear principal component analysis using autoassociative neural networks	Kramer (1991) M. A. Kramer Nonlinear principal component analysis using autoassociative neural networks. AIChE Journal 3
6	2308.12108	id		Lau et al. (2023) E. Lau, Z. Furman, G. Wang, D. Murfet, and S. Wei The local learning coefficient: a singularity-aware 
7	2502.05475	id		Lehalleur et al. (2025) S. P. Lehalleur, J. Hoogland, M. Farrugia-Roberts, S. Wei, A. G. Oldenziel, G. Wang, L. Carroll,
8		s2	Investigating the learning coefficient of modular addition: hackathon project	Panickssery and Vaintrob (2023) N. Panickssery and D. Vaintrob Investigating the learning coefficient of modular additio
9		—		Pearce et al. (2023) A. Pearce, A. Ghandeharioun, N. Hussein, N. Thain, M. Wattenberg, and L. Dixon Do machine learning 
10	2201.02177	id		Power et al. (2022) A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra Grokking: generalization beyond overfitt
11		s2	Algebraic geometry and statistical learning theory	Watanabe (2009) S. Watanabe Algebraic geometry and statistical learning theory. Cambridge University Press. Cited by: §1
12	0712.0653	s2	Equations of States in Singular Statistical Estimation	Watanabe (2010) S. Watanabe Equations of states in singular statistical estimation. Neural Networks 23 (1), pp. 20–34. C
13		s2	Mathematical Theory of Bayesian Statistics	Watanabe (2018) S. Watanabe Mathematical theory of bayesian statistics. Cambridge University Press. Cited by: §1.
14	2010.11560	s2	Deep Learning Is Singular, and That’s Good	Wei et al. (2022) S. Wei, D. Murfet, M. Gong, H. Li, J. Gell-Redman, and T. Quella Deep learning is singular, and that’s
