# no	arxiv	source	title per Semantic Scholar	entry
1	2202.08658	s2	The merged-staircase property: a necessary and nearly sufficient condition for SGD learning of spars	[1] E. Abbe, E. B. Adsera, and T. Misiakiewicz (2022) The merged-staircase property: a necessary and nearly sufficient c
2	2302.11055	s2	SGD learning on neural networks: leap complexity and saddle-to-saddle dynamics	[2] E. Abbe, E. B. Adsera, and T. Misiakiewicz (2023) Sgd learning on neural networks: leap complexity and saddle-to-sad
3	2503.09573	id		[3] M. Arriola, A. Gokaslan, J. T. Chiu, Z. Yang, Z. Qi, J. Han, S. S. Sahoo, and V. Kuleshov (2025) Block diffusion: in
4	2510.21961	id		[4] I. Azangulov, T. Pandeva, N. Prasad, J. Zazo, and S. Karmalkar (2025) Parallel sampling from masked diffusion models
5	2207.08799	s2	Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit	[5] B. Barak, B. Edelman, S. Goel, S. Kakade, E. Malach, and C. Zhang (2022) Hidden progress in deep learning: sgd learn
6		s2	Feature Learning Dynamics under Grokking in a Sparse Parity Task	[6] J. S. Bautiste, G. Bachmann, B. He, L. Noci, and T. Hofmann (2024) Feature learning dynamics under grokking in a spa
7	2303.00055	s2	Learning Time-Scales in Two-Layers Neural Networks	[7] R. Berthier, A. Montanari, and K. Zhou (2025) Learning time-scales in two-layers neural networks. Foundations of Com
8	1803.05457	id		[8] P. Clark, I. Cowhey, O. Etzioni, T. Khot, A. Sabharwal, C. Schoenick, and O. Tafjord (2018) Think you have solved qu
9	2110.14168	id		[9] K. Cobbe, V. Kosaraju, M. Bavarian, M. Chen, H. Jun, L. Kaiser, M. Plappert, J. Tworek, J. Hilton, R. Nakano, et al.
10	2507.06261	id		[10] G. Comanici, E. Bieber, M. Schaekermann, I. Pasupat, N. Sachdeva, I. Dhillon, M. Blistein, O. Ram, D. Zhang, E. Ros
11	2002.07400	s2	Learning Parities with Neural Networks	[11] A. Daniely and E. Malach (2020) Learning parities with neural networks. Advances in Neural Information Processing S
12		—		[12] J. Devlin, M. Chang, K. Lee, and K. Toutanova (2019) Bert: pre-training of deep bidirectional transformers for lang
13	2409.14623	s2	From Lazy to Rich: Exact Learning Dynamics in Deep Linear Networks	[13] C. C. J. Dominé, N. Anguita, A. M. Proca, L. Braun, D. Kunin, P. A. M. Mediano, and A. M. **[p. 10]** Saxe (2025) F
14	2510.18165	id		[14] Y. Dong, Z. Ma, X. Jiang, Z. Fan, J. Qian, Y. Li, J. Xiao, Z. Jin, R. Cao, B. Li, et al. (2025) Saber: an efficient
15		s2	Pareto Frontiers in Deep Feature Learning: Data, Compute, Width, and Luck	[15] B. L. Edelman, S. Goel, S. M. Kakade, eran malach, and C. Zhang (2023) Pareto frontiers in deep feature learning: d
16	2410.17891	s2	Scaling Diffusion Language Models via Adaptation from Autoregressive Models	[16] S. Gong, S. Agarwal, Y. Zhang, J. Ye, L. Zheng, M. Li, C. An, P. Zhao, W. Bi, J. Han, H. Peng, and L. Kong (2025a) 
17	2506.20639	id		[17] S. Gong, R. Zhang, H. Zheng, J. Gu, N. Jaitly, L. Kong, and Y. Zhang (2025b) DiffuCoder: understanding and improvin
18	2508.13148	id		[18] H. He, K. Renz, Y. Cao, and A. Geiger (2025) Mdpo: overcoming the training-inference divide of masked diffusion lan
19	2009.03300	s2	Measuring Massive Multitask Language Understanding	[19] D. Hendrycks, C. Burns, S. Basart, A. Zou, M. Mazeika, D. Song, and J. Steinhardt (2021a) Measuring massive multita
20	2103.03874	s2	Measuring Mathematical Problem Solving With the MATH Dataset	[20] D. Hendrycks, C. Burns, S. Kadavath, A. Arora, S. Basart, E. Tang, D. Song, and J. Steinhardt (2021b) Measuring mat
21	2510.05725	id		[21] C. Hong, S. An, M. Kim, and J. C. Ye (2025a) Improving discrete diffusion unmasking policies beyond explicit refere
22	2507.18578	id		[22] F. Hong, G. Yu, Y. Ye, H. Huang, H. Zheng, Y. Zhang, Y. Wang, and J. Yao (2025b) Wide-in, narrow-out: revokable dec
23	2502.21212	s2	Transformers Learn to Implement Multi-step Gradient Descent with Chain of Thought	[23] J. Huang, Z. Wang, and J. D. Lee (2025) Transformers learn to implement multi-step gradient descent with chain of t
