# no	arxiv	source	title per Semantic Scholar	entry
1	0706.1062	s2	Power-Law Distributions in Empirical Data	Power-law distributions in empirical data. SIAM Review 51 (4), pp. 661–703. Cited by: §3.1.
2		—		Progress measures for grokking on real-world tasks. External Links: 2402.11906, Link Cited by: Appendix B, Appendix B, A
3	2104.06153	s2	The Impact of Activation Sparsity on Overfitting in Convolutional Neural Networks	The impact of activation sparsity on overfitting in convolutional neural networks. External Links: 2104.06153, Link Cite
4		—		Deep networks always grok and here is why. External Links: 2402.15555, Link Cited by: §2.
5	2210.06313	id		The lazy neuron phenomenon: on emergence of activation sparsity in transformers. In The Eleventh International Conferenc
6	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Towards understanding grokking: an effective theory of representation learning. In Advances in Neural Information Proces
7		s2	DISTRIBUTION OF EIGENVALUES FOR SOME SETS OF RANDOM MATRICES	Distribution of eigenvalues for some sets of random matrices. Matematicheskii Sbornik 72(114) (4), pp. 507–536. Cited by
8	2507.17912	id		SETOL: a semi-empirical theory of (deep) learning. arXiv preprint arXiv:2507.17912. External Links: Link Cited by: §1, §
9	1810.01075	s2	Implicit Self-Regularization in Deep Neural Networks: Evidence from Random Matrix Theory and Implica	Implicit self-regularization in deep neural networks: evidence from random matrix theory and implications for learning. 
10	2002.06716	s2	Predicting trends in the quality of state-of-the-art neural networks without access to training or t	Predicting trends in the quality of state-of-the-art neural networks without access to training or testing data. Nature 
11		s2	WeightWatcher: Analyze Deep Learning Models without Training or Data	WeightWatcher: analyze Deep Learning Models without Training or Data. Note: https://github.com/CalculatedContent/WeightW
12	2303.11873	s2	A Tale of Two Circuits: Grokking as Competition of Sparse and Dense Subnetworks	A tale of two circuits: grokking as competition of sparse and dense subnetworks. External Links: 2303.11873, Link Cited 
13	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	Progress measures for grokking via mechanistic interpretability. External Links: 2301.05217, Link Cited by: §1, §2.
14		—		Theoretical explanation of activation sparsity through flat minima and adversarial robustness. External Links: 2309.0300
15	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	Grokking: generalization beyond overfitting on small algorithmic datasets. External Links: 2201.02177, Link Cited by: §1
16	2506.04434	id		Grokking and generalization collapse: insights from htsr theory. arXiv preprint arXiv:2506.04434. External Links: Link C
17	2309.02390	s2	Explaining grokking through circuit efficiency	Explaining grokking through circuit efficiency. External Links: 2309.02390, Link Cited by: §2.
