# no	arxiv	source	title per Semantic Scholar	entry
1	2410.04489	s2	Grokking at the Edge of Linear Separability	Beck, A., Levi, N., and Bar-Sinai, Y. Grokking at the edge of linear separability, 2025. URL https://arxiv.org/abs/2410.
2		—		Davies, X., Langosco, L., and Krueger, D. Unifying grokking and double descent, 2023. URL https://arxiv.org/abs/2303.061
3	2412.09810	s2	The Complexity Dynamics of Grokking	DeMoss, B., Sapora, S., Foerster, J., Hawes, N., and Posner, I. The complexity dynamics of grokking. *Physica D: Nonline
4	2310.13061	s2	To grok or not to grok: Disentangling generalization and memorization on corrupted algorithmic datas	Doshi, D., Das, A., He, T., and Gromov, A. To grok or not to grok: Disentangling generalization and memorization on corr
5	2405.19454	s2	Deep Grokking: Would Deep Neural Networks Generalize Better?	Fan, S., Pascanu, R., and Jaggi, M. Deep grokking: Would deep neural networks generalize better?, 2024. URL https://arxi
6		—		Gromov, A. Grokking modular arithmetic, 2023. URL https://arxiv.org/abs/2301.02679.
7		—		Humayun, A. I., Balestriero, R., and Baraniuk, R. Deep networks always grok and here is why, 2024. URL https://arxiv.org
8		s2	The implicit bias of gradient descent on nonseparable data	Ji, Z. and Telgarsky, M. The implicit bias of gradient descent on nonseparable data. In Beygelzimer, A. and Hsu, D. (eds
9	2506.05718	s2	Grokking Beyond the Euclidean Norm of Model Parameters	Junior, T. N. P., Dumas, G., and Rabusseau, G. Grokking beyond the Euclidean norm of model parameters. In Singh, A., Faz
10	2001.08361	s2	Scaling Laws for Neural Language Models	Kaplan, J., McCandlish, S., Henighan, T., Brown, T. B., Chess, B., Child, R., Gray, S., Radford, A., Wu, J., and Amodei,
11	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	Kumar, T., Bordelon, B., Gershman, S. J., and Pehlevan, C. Grokking as the transition from lazy to rich training dynamic
12	2310.16441	s2	Grokking in Linear Estimators - A Solvable Model that Groks without Understanding	Levi, N., Beck, A., and Bar-Sinai, Y. Grokking in linear estimators – a solvable model that groks without understanding,
13	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Liu, Z., Kitouni, O., Nolte, N., Michaud, E. J., Tegmark, M., and Williams, M. Towards understanding grokking: An effect
14		—		Liu, Z., Michaud, E. J., and Tegmark, M. Omnigrok: Grokking beyond algorithmic data, 2023. URL https://arxiv.org/abs/221
15	2311.18817	s2	Dichotomy of Early and Late Phase Implicit Biases Can Provably Induce Grokking	Lyu, K., Jin, J., Li, Z., Du, S. S., Lee, J. D., and Hu, W. Dichotomy of early and late phase implicit biases can provab
16	1712.06559	s2	The Power of Interpolation: Understanding the Effectiveness of SGD in Modern Over-parametrized Learn	Ma, S., Bassily, R., and Belkin, M. The power of interpolation: Understanding the effectiveness of sgd in modern over-pa
17	1706.06083	s2	Towards Deep Learning Models Resistant to Adversarial Attacks	Madry, A., Makelov, A., Schmidt, L., Tsipras, D., and Vladu, A. Towards deep learning models resistant to adversarial at
18		—		Manning-Coe, D., Gliozzi, J., Stapleton, A. G., Hirst, E., Tomasi, G. D., Bradlyn, B., and Berman, D. S. Grokking vs. le
19	2407.12332	s2	Why Do You Grok? A Theoretical Analysis of Grokking Modular Addition	Mohamadi, M. A., Li, Z., Wu, L., and Sutherland, D. J. Why do you grok? a theoretical analysis of grokking modular addit
20	1912.02292	s2	Deep double descent: where bigger models and more data hurt	Nakkiran, P., Kaplun, G., Bansal, Y., Yang, T., Barak, B., and Sutskever, I. Deep double descent: Where bigger models an
21	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	Nanda, N., Chan, L., Lieberum, T., Smith, J., and Steinhardt, J. Progress measures for grokking via mechanistic interpre
22	1706.08947	s2	Exploring Generalization in Deep Learning	Neyshabur, B., Bhojanapalli, S., McAllester, D., and Srebro, N. Exploring generalization in deep learning, 2017. URL htt
23	2008.08186	s2	Prevalence of neural collapse during the terminal phase of deep learning training	Papyan, V., Han, X. Y., and Donoho, D. L. Prevalence of neural collapse during the terminal phase of deep learning train
24	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	Power, A., Burda, Y., Edwards, H., Babuschkin, I., and Misra, V. Grokking: Generalization beyond overfitting on small al
25	1710.10345	s2	The Implicit Bias of Gradient Descent on Separable Data	Soudry, D., Hoffer, E., Nacson, M. S., Gunasekar, S., and Srebro, N. The implicit bias of gradient descent on separable 
26		s2	Understanding grokking through a robustness	Tan, Z. and Huang, W. Understanding grokking through a robustness viewpoint, 2024. URL https://arxiv.org/abs/2311.06597.
27	2206.04817	s2	The Slingshot Mechanism: An Empirical Study of Adaptive Optimizers and the Grokking Phenomenon	Thilak, V., Littwin, E., Zhai, S., Saremi, O., Paiss, R., and Susskind, J. The slingshot mechanism: An empirical study o
28	1611.03530	s2	Understanding deep learning requires rethinking generalization	Zhang, C., Bengio, S., Hardt, M., Recht, B., and Vinyals, O. Understanding deep learning requires rethinking generalizat
29		s2	Grokking phase transitions	Žunkovič, B. and Ilievski, E. Grokking phase transitions in learning local rules with gradient descent, 2022. URL https:
