# no	arxiv	source	title per Semantic Scholar	entry
1	2410.04489	s2	Grokking at the Edge of Linear Separability	A. Beck, N. I. Levi, and Y. Bar-Sinai. Grokking at the edge of linear separability. In *International Conference on Mach
2	2112.07572	id		M. Celentano, C. Cheng, and A. Montanari. The high-dimensional asymptotics of first order methods with random data. *arX
3	2206.14532	s2	Revisiting Label Smoothing and Knowledge Distillation Compatibility: What was Missing?	K. Chandrasegaran, N.-T. Tran, Y. Zhao, and N.-M. Cheung. Revisiting label smoothing and knowledge distillation compatib
4		s2	Geometrical and Statistical Properties of Systems of Linear Inequalities with Applications in Patter	T. M. Cover. Geometrical and statistical properties of systems of linear inequalities with applications in pattern recog
5		s2	Deconstructing the Regularization of BatchNorm	Y. Dauphin and E. D. Cubuk. Deconstructing the regularization of batchnorm. In *International Conference on Learning Rep
6	1912.00887	id		Z. Deng, A. Kammoun, et al. A model of double descent for high-dimensional binary classification. *arXiv preprint arXiv:
7		s2	THE USE OF MULTIPLE MEASUREMENTS IN TAXONOMIC PROBLEMS	R. A. Fisher. The use of multiple measurements in taxonomic problems. *Annals of Eugenics*, 7:179–188, 1936. doi: 10.111
8		s2	Towards a Better Understanding of Label Smoothing in Neural Machine Translation	Y. Gao, W. Wang, C. Herold, Z. Yang, and H. Ney. Towards a better understanding of label smoothing in neural machine tra
9		s2	The space of interactions in neural network models	E. Gardner. The space of interactions in neural network models. *Journal of Physics A: Mathematical and General*, 21(1):
10		s2	Three unfinished works on the optimal storage capacity of networks	E. Gardner and B. Derrida. Three unfinished works on the optimal storage capacity of networks. *Journal of Physics A: Ma
11		—		C. Garrod and J. P. Keating. The persistence of neural collapse despite low-rank bias, 2025. URL https://arxiv.org/abs/2
12	1706.04599	s2	On Calibration of Modern Neural Networks	C. Guo, G. Pleiss, Y. Sun, and K. Q. Weinberger. On calibration of modern neural networks. In *Proceedings of the Intern
13	2402.03979	id		L. Guo, K. Ross, Z. Zhao, G. Andriopoulos, S. Ling, Y. Xu, and Z. Dong. Cross entropy versus label smoothing: A neural c
14		s2	Neural collapse under mse loss: Proximity to and dynamics on the simplex etf	X. Y. Han, V. Papyan, and D. L. Donoho. Neural collapse under mse loss: Proximity to and dynamics on the simplex etf. In
15	1512.03385	s2	Deep Residual Learning for Image Recognition	K. He, X. Zhang, S. Ren, and J. Sun. Deep residual learning for image recognition, 2015. URL https://arxiv.org/abs/1512.
