# no	arxiv	source	title per Semantic Scholar	entry
1	2209.04836	id		[1] Ainsworth et al. (2022) S. K. Ainsworth, J. Hayase, and S. Srinivasa Git re-basin: merging models modulo permutation
2		s2	Circuit tracing: Revealing computational graphs in language models	[2] Ameisen et al. (2025) E. Ameisen, J. Lindsey, A. Pearce, W. Gurnee, N. L. Turner, B. Chen, C. Citro, D. Abrahams, S.
3		s2	Equivalence of linear time-invariant dynamical systems	[3] Anderson et al. (1966) B. Anderson, R. Newcomb, R. Kalman, and D. Youla Equivalence of linear time-invariant dynamic
4	2102.12452	s2	Probing Classifiers: Promises, Shortcomings, and Advances	[4] Belinkov (2022) Y. Belinkov Probing classifiers: promises, shortcomings, and advances. Computational Linguistics 48 
5		s2	Structural identifiability	[5] Bellman and Åström (1970) R. Bellman and K. J. Åström On structural identifiability. Mathematical Biosciences 7 (3-4
6		s2	Statistical modeling: The two cultures	[6] Breiman (2001) L. Breiman Statistical modeling: the two cultures. Statistical Science. Cited by: §1.
7		—		[7] Bricken et al. (2023) T. Bricken, A. Templeton, J. Batson, B. Chen, A. Jermyn, T. Conerly, N. Turner, C. Anil, C. De
8	2102.12086	id		[8] Brunton et al. (2021) S. L. Brunton, M. Budišić, E. Kaiser, and J. N. Kutz Modern koopman theory for dynamical syste
9	2405.10927	id		[9] Bushnaq et al. (2024) L. Bushnaq, J. Mendel, S. Heimersheim, D. Braun, N. Goldowsky-Dill, K. Hänni, C. Wu, and M. Ho
10	2302.03025	s2	A Toy Model of Universality: Reverse Engineering How Networks Learn Group Operations	[10] Chughtai et al. (2023) B. Chughtai, L. Chan, and N. Nanda A toy model of universality: reverse engineering how netw
11		s2	Every Good Regulator of a System Must Be a Model of That System	[11] Conant and Ross Ashby (1970) R. C. Conant and W. Ross Ashby Every good regulator of a system must be a model of tha
12	2309.08600	id		[12] Cunningham et al. (2023) H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey Sparse autoencoders find highl
