# no	arxiv	source	title per Semantic Scholar	entry
1		—		Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, Vedant Misra, Grokking: Generalization Beyond Overfitting on 
2		—		Vikrant Varma, Rohin Shah, Zachary Kenton, János Kramár, Ramana Kumar, Explaining grokking through circuit efficiency, 2
3		—		Ziming Liu, Eric J Michaud, Max Tegmark, Omnigrok: Grokking Beyond Algorithmic Data, The Eleventh International Conferen
4		—		Liu, Ziming, Kitouni, Ouail, Nolte, Niklas S, Michaud, Eric, Tegmark, Max, Williams, Mike, Towards understanding grokkin
5		—		Tanishq Kumar, Blake Bordelon, Samuel J. Gershman, Cengiz Pehlevan, Grokking as the transition from lazy to rich trainin
6		—		Andrey Gromov, Grokking modular arithmetic, 2301.02679, 2023
7		—		Andrew Lee, Melanie Weber, Fernanda Viégas, Martin Wattenberg, Shared Global and Local Geometry of Language Model Embedd
8		—		Alexander Modell, Patrick Rubin-Delanchy, Nick Whiteley, The Origins of Representation Manifolds in Large Language Model
9		—		Xingyu Zheng, Kyle Daruwalla, Ari S Benjamin, David Klindt, Delays in generalization match delayed changes in representa
10		—		Rishi Jha, Collin Zhang, Vitaly Shmatikov, John X. Morris, Harnessing the Universal Geometry of Embeddings, 2505.12540, 
11		—		Park, Yeachan, Kim, Minseok, Kim, Yeoneung, Acceleration of grokking in learning arithmetic operations via Kolmogorov-Ar
12		—		Merrill, William, Tsilivis, Nikolaos, Shukla, Aman, A Tale of Two Circuits: Grokking as Competition of Sparse and Dense 
13		—		Simin Fan, Razvan Pascanu, Martin Jaggi, Deep Grokking: Would Deep Neural Networks Generalize Better?, 2405.19454, 2024
14		—		Satvik Golechha, Progress Measures for Grokking on Real-world Tasks, 2405.12755, 2024
15		—		Beren Millidge, Grokking 'grokking', 2022
16		—		Javier Sanguino Bautiste, Gregor Bachmann, Bobby He, Lorenzo Noci, Thomas Hofmann, Unveiling Grokking: Analyzing Feature
17		—		Yoshua Bengio, Aaron Courville, Pascal Vincent, Representation Learning: A Review and New Perspectives, 1206.5538, 2014
18		—		Florian Eichin, Yupei Du, Philipp Mondorf, Barbara Plank, Michael A. Hedderich, Grokking ExPLAIND: Unifying Model, Data,
19		—		Ziqian Zhong, Ziming Liu, Max Tegmark, Jacob Andreas, The Clock and the Pizza: Two Stories in Mechanistic Explanation of
20		—		Subhash Kantamneni, Max Tegmark, Language Models Use Trigonometry to Do Additio**[p. 10]** n, ICLR 2025 Workshop on Buil
21		—		Chung, SueYeon, Lee, Daniel D., Sompolinsky, Haim, Linear readout of object manifolds, Physical Review E, 2016
22		—		Gregory Cohen, Saeed Afshar, Jonathan Tapson, André van Schaik, EMNIST: an extension of MNIST to handwritten letters, 17
23		—		Belkin, Mikhail, Niyogi, Partha, Sindhwani, Vikas, Manifold Regularization: A Geometric Framework for Learning from Labe
