# no	arxiv	source	title per Semantic Scholar	entry
1	2211.15661	s2	What learning algorithm is in-context learning? Investigations with linear models	Akyurek et al. (2023) E. Akyurek, D. Schuurmans, J. Andreas, T. Ma, and D. Zhou What learning algorithm is in-context le
2	2306.04637	s2	Transformers as Statisticians: Provable In-Context Learning with In-Context Algorithm Selection	Bai et al. (2023) Y. Bai, F. Chen, H. Wang, C. Xiong, and S. Mei Transformers as Statisticians: Provable In-Context Lear
3	1505.05424	s2	Weight Uncertainty in Neural Networks	Blundell et al. (2015) C. Blundell, J. Cornebise, K. Kavukcuoglu, and D. Wierstra Weight Uncertainty in Neural Networks.
4	2005.14165	s2	Language Models are Few-Shot Learners	Brown et al. (2020) T. Brown, B. Mann, N. Ryder, M. Subbiah, J. D. Kaplan, P. Dhariwal, A. Neelakantan, P. Shyam, G. Sas
5	2408.08944	s2	Information-Theoretic Progress Measures reveal Grokking is an Emergent Phase Transition	Clauw et al. (2024) K. Clauw, S. Stramaglia, and D. Marinazzo Information-Theoretic Progress Measures reveal Grokking is
6	2106.14806	s2	Laplace Redux - Effortless Bayesian Deep Learning	Daxberger et al. (2021) E. Daxberger, A. Kristiadi, A. Immer, R. Eschenhagen, M. Bauer, and P. Hennig Laplace Redux - Ef
7	1506.02142	s2	Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning	Gal & Ghahramani (2016) Y. Gal and Z. Ghahramani Dropout as a Bayesian Approximation: Representing Model Uncertainty in 
8	2405.12755	s2	Progress Measures for Grokking on Real-world Tasks	Golechha (2024) S. Golechha Progress Measures for Grokking on Real-world Tasks. In ICML 2024 Workshop on High-dimensiona
9		s2	Practical Variational Inference for Neural Networks	Graves (2011) A. Graves Practical Variational Inference for Neural Networks. In Advances in Neural Information Processin
10	2406.02550	s2	Learning to grok: Emergence of in-context learning and skill composition in modular arithmetic tasks	He et al. (2024) T. He, D. Doshi, A. Das, and A. Gromov Learning to grok: Emergence of in-context learning and skill com
11	1910.09457	s2	Aleatoric and epistemic uncertainty in machine learning: an introduction to concepts and methods	Hüllermeier & Waegeman (2021) E. **[p. 11]** Hüllermeier and W. Waegeman Aleatoric and epistemic uncertainty in machine 
