# no	arxiv	source	title per Semantic Scholar	entry
1		s2	Accurate structure prediction of biomolecular interactions with AlphaFold 3	J. Abramson, J. Adler, J. Dunger, R. Evans, T. Green, A. Pritzel, O. Ronneberger, L. Willmore, A. J. Ballard, J. Bambric
2	2406.09358	s2	Understanding Hallucinations in Diffusion Models through Mode Interpolation	S. K. Aithal, P. Maini, Z. Lipton, and J. Z. Kolter (2024) Understanding hallucinations in diffusion models through mode
3	2505.17638	id		T. Bonnaire, R. Urfin, G. Biroli, and M. Mézard (2025) Why diffusion models don’t memorize: the role of implicit dynamic
4	2402.15391	s2	Genie: Generative Interactive Environments	J. Bruce, M. D. Dennis, A. Edwards, J. Parker-Holder, Y. Shi, E. Hughes, M. Lai, A. Mavalankar, R. Steigerwald, C. Apps,
5	2508.17689	id		S. Buchanan, D. Pai, Y. Ma, and V. De Bortoli (2025) On the edge of memorization in diffusion models. arXiv preprint arX
6		s2	Thread: Circuits	N. Cammarata, S. Carter, G. Goh, C. Olah, M. Petrov, L. Schubert, C. Voss, B. Egan, and S. K. Lim (2020) Thread: circuit
7	1812.01718	s2	Deep Learning for Classical Japanese Literature	T. Clanuwat, M. Bober-Irizar, A. Kitamoto, A. Lamb, K. Yamamoto, and D. Ha (2018) Deep learning for classical japanese l
8	1702.05373	id		G. Cohen, S. Afshar, J. Tapson, and A. van Schaik (2017) EMNIST: an extension of mnist to handwritten letters. arXiv pre
9	2304.14997	s2	Towards Automated Circuit Discovery for Mechanistic Interpretability	A. Conmy, A. Mavor-Parker, A. Lynch, S. Heimersheim, and A. Garriga-Alonso (2023) Towards automated circuit discovery fo
10	2309.08600	id		H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey (2023) Sparse autoencoders find highly interpretable feature
11	2303.06173	id		X. Davies, L. Langosco, and D. Krueger (2023) Unifying grokking and double descent. arXiv preprint arXiv:2303.06173. Cit
12	2405.19201	s2	Going beyond Compositions, DDPMs Can Produce Zero-Shot Interpolations	J. Deschenaux, I. Krawczuk, G. Chrysos, and V. Cevher (2024) Going beyond compositions, ddpms can produce zero-shot inte
13		s2	A mathematical framework for transformer circuits	N. Elhage, N. Nanda, C. Olsson, T. Henighan, N. Joseph, B. Mann, A. Askell, Y. Bai, A. Chen, T. Conerly, N. DasSarma, D.
14	1512.03385	s2	Deep Residual Learning for Image Recognition	K. He, X. Zhang, S. Ren, and J. Sun (2015) Deep residual learning for image recognition. External Links: 1512.03385, Lin
15		—		D. Hendrycks and K. Gimpel (2023) Gaussian error linear units (gelus). External Links: 1606.08415, Link Cited by: Append
16	2006.11239	s2	Denoising Diffusion Probabilistic Models	J. Ho, A. Jain, and P. Abbeel (2020) Denoising diffusion probabilistic models. Advances in neural information processing
17	2310.02557	id		Z. Kadkhodaie, F. Guth, E. P. Simoncelli, and S. Mallat (2023) Generalization in diffusion models arises from geometry-a
18	2412.20292	s2	An analytic theory of creativity in convolutional diffusion models	M. Kamb and S. Ganguli (2025) An analytic theory of creativity in convolutional diffusion models. In Forty-second Intern
19	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	T. Kumar, B. Bordelon, S. J. Gershman, and C. Pehlevan (2023) Grokking as the transition from lazy to rich training dyna
20	2210.10960	s2	Diffusion Models already have a Semantic Latent Space	M. Kwon, J. Jeong, and Y. Uh (2023) Diffusion models already have a semantic latent space. External Links: 2210.10960, L
21	2511.13720	id		T. Li and K. He (2025) Back to basics: let denoising generative models denoise. arXiv preprint arXiv:2511.13720. Cited b
22		s2	Back to basics: Let denoising generative models	T. Li and K. He (2026) Back to basics: let denoising generative models denoise. External Links: 2511.13720, Link Cited b
