# no	arxiv	source	title per Semantic Scholar	entry
1		s2	A Global Geometric Framework for Nonlinear Dimensionality Reduction	[1] Joshua B. Tenenbaum, Vin de Silva, and John C. Langford. A Global Geometric Framework For Nonlinear Dimensionality R
2		s2	Nonlinear dimensionality reduction by locally linear embedding.	[2] Sam T. Roweis and Lawrence K. Saul. Nonlinear Dimensionality Reduction by Locally Linear Embedding. Science, 290(550
3	1710.09412	s2	mixup: Beyond Empirical Risk Minimization	[3] Hongyi Zhang, Moustapha Cisse, Yann N. Dauphin, and David Lopez-Paz. Mixup: Beyond Empirical Risk Minimization. In I
4	1905.04899	s2	CutMix: Regularization Strategy to Train Strong Classifiers With Localizable Features	[4] Sangdoo Yun, Dongyoon Han, Seong Joon Oh, Sanghyuk Chun, Junsuk Choe, and Young Joon Yoo. CutMix: Regularization Str
5	1811.09030	s2	Data Augmentation Using Random Image Cropping and Patching for Deep CNNs	[5] Ryo Takahashi, Takashi Matsubara, and Kuniaki Uehara. Data Augmentation Using Random Image Cropping and Patching for
6	1708.04896	s2	Random Erasing Data Augmentation	[6] Zhun Zhong, Liang Zheng, Guoliang Kang, Shaozi Li, and Yi Yang. Random Erasing Data Augmentation. In Proceedings of 
7		s2	AutoAugment: Learning Augmentation Strategies From Data	[7] Ekin D Cubuk, Barret Zoph, Dandelion Mane, Vijay Vasudevan, and Quoc V Le. Autoaugment: Learning Augmentation Strate
8		s2	AugMix: A Simple Method to Improve Robustness and Uncertainty Under Data Shift	[8] Dan Hendrycks, Norman Mu, Ekin Dogus Cubuk, Barret Zoph, Justin Gilmer, and Balaji Lakshminarayanan. AugMix: A Simpl
9		s2	Backpropagation Applied to Handwritten Zip Code Recognition	[9] Y. LeCun, B. Boser, J. S. Denker, D. Henderson, R. E. Howard, W. Hubbard, and L. D. Jackel. Backpropagation Applied 
10	1706.03762	s2	Attention is All you Need	[10] Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez, Lukasz Kaiser, and Illia Po
11	2201.02177	id		[11] Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization Beyond Overfi
12		s2	Mechanism for feature learning in neural networks and backpropagation-free machine learning models	[12] Adityanarayanan Radhakrishnan, Daniel Beaglehole, Parthe Pandit, and Mikhail Belkin. Mechanism for Feature Learning
13		s2	A Spline Theory of Deep Learning	[13] Randall Balestriero and Richard Baraniuk. A Spline Theory of Deep Learning. In Proceedings of the 35th Internationa
14	1805.06576	s2	Mad Max: Affine Spline Insights Into Deep Learning	[14] Randall Balestriero and Richard G Baraniuk. Mad Max: Affine Spline Insights Into Deep Learning. Proceedings of the 
15		s2	Learning long-term dependencies with gradient descent is difficult	[15] Y. Bengio, P. Simard, and P. Frasconi. Learning Long-Term Dependencies with Gradient Descent Is Difficult. IEEE Tra
16	1211.5063	s2	On the difficulty of training recurrent neural networks	[16] Razvan Pascanu, Tomas Mikolov, and Yoshua Bengio. On the Difficulty of Training Recurrent Neural Networks. In Proce
17		s2	Gradient-based learning applied to document recognition	[17] Y. LeCun, L. Bottou, Y. Bengio, and P. Haffner. Gradient-Based Learning Applied to Document Recognition. Proceeding
18		s2	Learning Multiple Layers of Features from Tiny Images	[18] Alex Krizhevsky and Geoffrey Hinton. Learning Multiple Layers of Features from Tiny Images. Technical report, Unive
19	1605.07146	id		[19] Sergey Zagoruyko and Nikos Komodakis. Wide Residual Networks. arXiv:1605.07146, 2017. Cited by: Figure 1.
