# no	arxiv	source	title per Semantic Scholar	entry
1		s2	Spin-glass models of neural networks.	D. J. Amit, H. Gutfreund, and H. Sompolinsky (1985) Spin-glass models of neural networks. Physical Review A 32 (2), pp. 
2		s2	Absence of Diffusion in Certain Random Lattices	P. W. Anderson (1958) Absence of diffusion in certain random lattices. Physical Review 109 (5), pp. 1492–1505. External 
3	math/0403022	s2	Phase transition of the largest eigenvalue for nonnull complex sample covariance matrices	J. Baik, G. Ben Arous, and S. Péché (2005) Phase transition of the largest eigenvalue for nonnull complex sample covaria
4		s2	STATISTICAL MECHANICS APPROACH TO EARLY STOPPING AND WEIGHT DECAY	S. Bös (1998) Statistical mechanics approach to early stopping and weight decay. Physical Review E 58 (1), pp. 833–847. 
5		s2	Plancks Gesetz und Lichtquantenhypothese	S. N. Bose (1924) Plancks Gesetz und Lichtquantenhypothese. Zeitschrift für Physik 26 (1), pp. 178–181. External Links: 
6		—		A. Einstein (1925) Quantentheorie des einatomigen idealen Gases. Sitzungsberichte der Preussischen Akademie der Wissensc
7		s2	The space of interactions in neural network models	E. Gardner (1988) The space of interactions in neural network models. Journal of Physics A: Mathematical and General 21 
8		s2	Neural networks and physical systems with emergent collective computational abilities.	J. J. Hopfield (1982) Neural networks and physical systems with emergent collective computational abilities. Proceedings
9	2405.20233	s2	Grokfast: Accelerated Grokking by Amplifying Slow Gradients	J. Lee, B. G. Kang, K. Kim, and K. M. Lee (2024) Grokfast: accelerated grokking by amplifying slow gradients. External L
10	2510.01414	id		J. Li and R. Sonthalia (2025) Risk phase transitions in spiked regression: alignment driven benign and catastrophic over
11	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	Z. Liu, O. Kitouni, N. S. Nolte, E. J. Michaud, M. Tegmark, and M. Williams (2022) Towards understanding grokking: an ef
12		s2	DISTRIBUTION OF EIGENVALUES FOR SOME SETS OF RANDOM MATRICES	V. A. Marchenko and L. A. Pastur (1967) Distribution of eigenvalues for some sets of random matrices. Matematicheskii Sb
13	2507.17912	id		C. H. Martin and C. Hinrichs (2025) SETOL: a semi-empirical theory of (deep) learning. arXiv preprint arXiv:2507.17912. 
14	1810.01075	s2	Implicit Self-Regularization in Deep Neural Networks: Evidence from Random Matrix Theory and Implica	C. H. Martin and M. W. Mahoney (2021) Implicit self-regularization in deep neural networks: evidence from random matrix 
15	2002.06716	s2	Predicting trends in the quality of state-of-the-art neural networks without access to training or t	C. H. Martin, T. Peng, and M. W. **[p. 11]** Mahoney (2021) Predicting trends in the quality of state-of-the-art neural 
16		s2	WeightWatcher: Analyze Deep Learning Models without Training or Data	C. H. Martin (2018) WeightWatcher: analyze Deep Learning Models without Training or Data. Note: https://github.com/Calcu
17	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt (2023) Progress measures for grokking via mechanistic interp
18	2508.10925	s2	gpt-oss-120b&gpt-oss-20b Model Card	OpenAI (2025) Gpt-oss-120b & gpt-oss-20b model card. Note: https://openai.com/index/gpt-oss-model-card/Accessed: 2026-03
19		s2	Introducing gpt-oss	OpenAI (2025) Introducing gpt-oss. Note: https://openai.com/index/introducing-gpt-oss/Accessed: 2026-03-28 Cited by: §7.
20		s2	Fluctuations of Nuclear Reaction Widths	C. E. Porter and R. G. Thomas (1956) Fluctuations of nuclear reaction widths. Physical Review 104 (2), pp. 483–491. Cite
21		s2	A First Course in Random Matrix Theory for Physicists, Engineers and Data Scientists	M. Potters and J. Bouchaud (2021) A first course in random matrix theory: for physicists, engineers and data scientists.
22	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra (2022) Grokking: generalization beyond overfitting on small 
23		s2	Statistical mechanics of learning from examples.	H. S. Seung, H. Sompolinsky, and N. Tishby (1992) Statistical mechanics of learning from examples. Physical Review A 45 
24	2405.15071	s2	Grokked Transformers are Implicit Reasoners: A Mechanistic Journey to the Edge of Generalization	B. Wang, X. Yue, Y. Su, and H. Sun (2024) Grokked transformers are implicit reasoners: a mechanistic journey to the edge
25		s2	L'hypothèse du champ moléculaire et la propriété ferromagnétique	P. Weiss (1907) L’hypothèse du champ moléculaire et la propriété ferromagnétique. Journal de Physique Théorique et Appli
