# no	arxiv	source	title per Semantic Scholar	entry
1	2603.15492	id		Pratyush Acharya and Habish Dhakal. Grokking as a variance-limited phase transition: Spectral gating and the epsilon-sta
2	2605.04396	id		Sarwan Ali. Critical windows of complexity control: When transformers decide to reason or memorize. *arXiv preprint arXi
3		s2	Statistical mechanics of deep learning	Yasaman Bahri, Jonathan Kadmon, Jeffrey Pennington, Sam S Schoenholz, Jascha Sohl-Dickstein, and Surya Ganguli. Statisti
4	2603.24746	id		Yuda Bi, Chenyu Zhang, Qiheng Wang, and Vince D. Calhoun. Grokking as a falsifiable finite-size transition. *arXiv prepr
5		—		Nacer Eddine Boukacem, Allen Leary, Robin Thériault, Felix Gottlieb, Madhav Mani, and Paul François. Waddington landscap
6	2409.10559	s2	Unveiling Induction Heads: Provable Training Dynamics and Feature Learning in Transformers	Siyu Chen, Heejune Sheen, Tianhao Wang, and Zhuoran Yang. Unveiling induction heads: Provable training dynamics and feat
7		s2	Mechanical signaling coordinates the embryonic heartbeat	Kevin K. Chiou, Jason W. Rocks, Christina Yingxian Chen, Sangkyun Cho, Koen E. Merkus, Anjali Rajaratnam, Patrick Robiso
8	2310.04415	id		Francesco D’Angelo, Maksym Andriushchenko, Aditya Varre, and Nicolas Flammarion. Why do we need weight decay in modern d
9	2209.10652	s2	Toy Models of Superposition	Nelson Elhage, Tristan Hume, Catherine Olsson, Nicholas Schiefer, Tom Henighan, Shauna Kravec, Zac Hatfield-Dodds, Rober
10	1803.03635	s2	The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks	Jonathan Frankle and Michael Carbin. The lottery ticket hypothesis: Finding sparse, trainable neural networks. In *ICLR*
11	2206.05794	id		Tomer Galanti, Zachary S. Siegel, Aparna Gupte, and Tomaso Poggio. SGD and weight decay secretly minimize the rank of yo
12	2604.20923	id		Shreel Golwala. ILDR: Geometric early detection of grokking. *arXiv preprint arXiv:2604.20923*, 2026. URL https://arxiv.
13	2604.13082	id		Laura Gomezjurado Gonzalez. The long delay to arithmetic generalization: When learned representations outrun behavior. *
14	2312.00752	id		Albert Gu and Tri Dao. Mamba: Linear-time sequence modeling with selective state spaces. *arXiv preprint arXiv:2312.0075
15	2602.14445	id		Hasi Hays. Selective synchronization attention. *arXiv preprint arXiv:2602.14445*, 2026. URL https://arxiv.org/abs/2602.
16	2603.29805	id		Max Hennick and Guillaume Corlouer. From density matrices to phase transitions in deep learning: Spectral early warnings
17		s2	A bioelectrical phase transition patterns the first vertebrate heartbeats	Bill Z Jia, Yitong Qi, J David Wong-Campos, Sean G Megason, and Adam E Cohen. A bioelectrical phase transition patterns 
18	2310.06110	s2	Grokking as the Transition from Lazy to Rich Training Dynamics	Tanishq Kumar, Blake Bordelon, Samuel J Gershman, and Cengiz Pehlevan. Grokking as the transition from lazy to rich trai
