# no	arxiv	source	title per Semantic Scholar	entry
1	1711.08856	id		Achille, A., Rovere, M., and Soatto, S. Critical learning periods in deep networks. In *International Conference on Lear
2	2304.01373	id		Biderman, S., Schoelkopf, H., Anthony, Q., Bradley, H., O’Brien, K., Hallahan, E., Khan, M. A., Purohit, S., Prashanth, 
3		s2	Large Language Models in Machine Translation	Brants, T., Popat, A. C., Xu, P., Och, F. J., and Dean, J. Large language models in machine translation. In *Proceedings
4	2110.02406	s2	Word Acquisition in Neural Language Models	Chang, T. A. and Bergen, B. K. Word acquisition in neural language models. *Transactions of the Association for Computat
5	2308.15419	s2	Characterizing Learning Curves During Language Model Pre-Training: Learning, Forgetting, and Stabili	Chang, T. A., Tu, Z., and Bergen, B. K. Characterizing learning curves during language model pre-training: Learning, for
6	2309.07311	id		Chen, A., Shwartz-Ziv, R., Cho, K., Leavitt, M. L., and Saphra, N. Sudden drops in the loss: Syntax acquisition, phase t
7	2109.06096	s2	The Grammar-Learning Trajectories of Neural Language Models	Choshen, L., Hacohen, G., Weinshall, D., and Abend, O. The grammar-learning trajectories of neural language models. In *
8	2504.13161	id		Diao, S., Yang, Y., Fu, Y., Dong, X., Su, D., Kliegl, M., Chen, Z., Belcak, P., Suhara, Y., Yin, H., Patwary, M., Lin, Y
9	2305.07759	id		Eldan, R. and Li, Y. Tinystories: How small can language models be and still speak coherent english? *arXiv preprint arX
10		s2	A mathematical framework for transformer circuits	Elhage, N., Nanda, N., Olsson, C., Henighan, T., Joseph, N., Mann, B., Askell, A., Bai, Y., Chen, A., Conerly, T., et al
11	2408.00118	id		Gemma Team, Rivière, M., Pathak, S., Sessa, P. G., Hardin, C., Bhupatiraju, S., Hussenot, L., Mesnard, T., Shahriari, B.
12	2402.00838	id		Groeneveld, D., Beltagy, I., Walsh, P., Bhagia, A., Kinney, R., Tafjord, O., Jha, A. H., Ivison, H., Magnusson, I., Wang
13	2203.15556	id		Hoffmann, J., Borgeaud, S., Mensch, A., Buchatskaya, E., Cai, T., Rutherford, E., de Las Casas, D., Hendricks, L. A., We
14	2402.02364	id		Hoogland, J., Wang, G., Farrugia-Roberts, M., Carroll, L., Wei, S., and Murfet, D. The developmental landscape of in-con
