# no	arxiv	source	title per Semantic Scholar	entry
1	2012.13255	s2	Intrinsic Dimensionality Explains the Effectiveness of Language Model Fine-Tuning	[1] A. Aghajanyan, S. Gupta, and L. **[p. 8]** Zettlemoyer (2021) Intrinsic dimensionality explains the effectiveness of
2	1905.12784	s2	Intrinsic dimension of data representations in deep neural networks	[2] A. Ansuini, A. Laio, J. H. Macke, and D. Zoccolan (2019) Intrinsic dimension of data representations in deep neural 
3		—		[3] A. Bardes, J. Ponce, and Y. LeCun (2022) VICReg: variance-invariance-covariance regularization for self-supervised l
4		s2	The approximation of one matrix by another of lower rank	[4] C. Eckart and G. Young (1936) The approximation of one matrix by another of lower rank. Psychometrika 1 (3), pp. 211
5	1706.02677	s2	Accurate, Large Minibatch SGD: Training ImageNet in 1 Hour	[5] P. Goyal, P. Dollár, R. Girshick, P. Noordhuis, L. Wesolowski, A. Kyrola, A. Tulloch, Y. Jia, and K. He (2017) Accur
6	2106.02073	s2	Neural Collapse Under MSE Loss: Proximity to and Dynamics on the Central Path	[6] X. Han, V. Papyan, and D. L. Donoho (2022) Neural collapse under MSE loss: proximity to and dynamics on the central 
7		s2	2022. Understanding Dimensional Collapse in Contrastive Self-Supervised Learning	[7] L. Jing, P. Vincent, Y. LeCun, and Y. Tian (2022) Understanding dimensional collapse in contrastive self-supervised 
8		—		[8] I. T. Jolliffe (2002) Principal component analysis. 2nd edition, Springer. Cited by: Appendix A, Geometric Dimension
9	1905.00414	s2	Similarity of Neural Network Representations Revisited	[9] S. Kornblith, M. Norouzi, H. Lee, and G. Hinton (2019) Similarity of neural network representations revisited. In Pr
10	2206.04041	s2	Neural Collapse: A Review on Modelling Principles and Generalization	[10] V. Kothapalli (2022) Neural collapse: a review on modelling principles and generalization. arXiv abs/2206.04041. Ci
11	2405.20233	s2	Grokfast: Accelerated Grokking by Amplifying Slow Gradients	[11] J. Lee, B. G. Kang, K. Kim, and K. M. Lee (2024) GrokFast: accelerated grokking by amplifying slow gradients. arXiv
12	1804.08838	s2	Measuring the Intrinsic Dimension of Objective Landscapes	[12] C. Li, H. Farkhoor, R. Liu, and J. Yosinski (2018) Measuring the intrinsic dimension of objective landscapes. In In
13	2205.10343	s2	Towards Understanding Grokking: An Effective Theory of Representation Learning	[13] Z. Liu, O. Kitouni, N. Nolte, E. J. Michaud, M. Tegmark, and M. Williams (2022) Towards understanding grokking: an 
14		—		[14] Z. Liu, E. J. Michaud, and M. Tegmark (2022) OmniGrok: grokking beyond algorithmic data. arXiv abs/2210.01117. Cite
15	1608.03983	s2	SGDR: Stochastic Gradient Descent with Warm Restarts	[15] I. Loshchilov and F. Hutter (2017) SGDR: stochastic gradient descent with warm restarts. In International Conferenc
16	2310.19470	s2	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	[16] G. Minegishi, Y. Iwasawa, and Y. Matsuo (2023) Bridging lottery ticket and grokking: understanding grokking from in
17	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	[17] N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt (2023) Progress measures for grokking via mechanistic i
18	2008.08186	s2	Prevalence of neural collapse during the terminal phase of deep learning training	[18] V. Papyan, X. Han, and D. L. Donoho (2020) Prevalence of neural collapse during the terminal phase of deep learning
19	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	[19] A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra (2022) Grokking: generalization beyond overfitting on s
20	2108.08810	s2	Do Vision Transformers See Like Convolutional Neural Networks?	[20] M. Raghu, T. Unterthiner, S. Kornblith, C. Zhang, and A. Dosovitskiy (2021) Do vision transformers see like convolu
21	1906.00443	s2	Dimensionality compression and expansion in Deep Neural Networks	[21] S. Recanatesi, M. Farrell, M. Advani, T. Moore, G. Lajoie, and E. Shea-Brown (2019) Dimensionality compression and 
22	1703.00810	s2	Opening the Black Box of Deep Neural Networks via Information	[22] R. Shwartz-Ziv and N. Tishby (2017) Opening the black box of deep neural networks via information. arXiv abs/1703.0
23	1503.02406	s2	Deep learning and the information bottleneck principle	[23] N. Tishby and N. Zaslavsky (2015) Deep learning and the information bottleneck principle. In 2015 IEEE Information 
24		s2	2023. Explaining Grokking through Circuit Efficiency	[24] V. Varma, R. Shah, Z. Kenton, J. Kramár, and R. Kumar (2023) Explaining grokking through circuit efficiency. arXiv 
25	1706.03762	s2	Attention is All you Need	[25] A. Vaswani, N. Shazeer, N. Parmar, J. Uszkoreit, L. Jones, A. N. Gomez, Ł. Kaiser, and I. Polosukhin (2017) Attenti
26	2504.13292	s2	Let Me Grok for You: Accelerating Grokking via Embedding Transfer from a Weaker Model	[26] Z. Xu, Z. Ni, Y. Wang, and W. Hu (2025) Let me grok for you: accelerating grokking via embedding transfer from a we
