# no	arxiv	source	title per Semantic Scholar	entry
1	2603.01192	id		[1] Ben Cullen, Sergio Estan-Ruiz, Riya Danait, and Jiayi Li. A basin-selection perspective on grokking via singular lea
2		s2	Approximation by superpositions of a sigmoidal function	[2] George Cybenko. Approximation by superpositions of a sigmoidal function. *Mathematics of Control, Signals and System
3	2406.03495	id		[3] Darshil Doshi, Tianyu He, Aritra Das, and Andrey Gromov. Grokking modular polynomials. *arXiv preprint arXiv:2406.03
4	2301.02679	id		[4] Andrey Gromov. Grokking modular arithmetic. *arXiv preprint arXiv:2301.02679*, 2023.
5		s2	Approximation capabilities of multilayer feedforward networks	[5] Kurt Hornik. Approximation capabilities of multilayer feedforward networks. *Neural Networks*, 4(2):251–257, 1991.
6	1806.07572	id		[6] Arthur Jacot, Franck Gabriel, and Clément Hongler. Neural tangent kernel: Convergence and generalization in neural n
7	1905.12207	id		[7] Joe Kileel, Matthew Trager, and Joan Bruna. On the expressive power of deep polynomial neural networks. In *Advances
8	2310.06110	id		[8] Tanishq Kumar, Blake Bordelon, Samuel J. Gershman, and Cengiz Pehlevan. Grokking as the transition from lazy to rich
9	2205.10343	id		[9] Ziming Liu, Ouail Kitouni, Niklas Nolte, Eric J. Michaud, Max Tegmark, and Mike Williams. Towards understanding grok
10	2301.05217	id		[10] Neel Nanda, Lawrence Chan, Tom Lieberum, Jess Smith, and Jacob Steinhardt. Progress measures for grokking via mecha
11	2201.02177	id		[11] Alethea Power, Yuri Burda, Harri Edwards, Igor Babuschkin, and Vedant Misra. Grokking: Generalization beyond overfi
12	2310.03789	id		[12] Noa Rubin, Inbar Seroussi, and Zohar Ringel. Droplets of good representations: Grokking as a first order phase tran
13	2605.09724	id		[13] Yiding Song and Hanming Ye. Model capacity determines grokking through competing memorisation and generalisation sp
14	1602.04485	id		[14] Matus Telgarsky. Benefits of depth in neural networks. In *29th Annual Conference on Learning Theory (COLT)*, volum
15	1705.09792	id		[15] Chiheb Trabelsi, Olexa Bilaniuk, Ying Zhang, Dmitriy Serdyuk, Sandeep Subramanian, João Felipe Santos, Soroush Mehr
16	2210.15435	id		[16] Bojan Žunkovič and Enej Ilievski. Grokking phase transitions in learning local rules with gradient descent. *Journa
