# no	arxiv	source	title per Semantic Scholar	entry
1	2409.20325	id		**Bernstein and Newhouse (2024)** J. Bernstein and L. Newhouse Old optimizer, new norm: an anthology. arXiv preprint arX
2		s2	Muon: An optimizer using newton–schulz orthogonalization of momentum	**Jordan et al. (2024)** K. Jordan et al. Muon: an optimizer using newton–schulz orthogonalization of momentum. Note: ht
3	2405.20233	id		**Lee et al. (2024)** J. Lee, B. G. Kang, K. Kim, and K. M. Lee Grokfast: accelerated grokking by amplifying slow gradie
4	2210.01117	id		**Liu et al. (2023)** Z. Liu, E. J. Michaud, and M. Tegmark Omnigrok: grokking beyond algorithmic data. In International
5		s2	Decoupled Weight Decay Regularization	**Loshchilov and Hutter (2019)** I. Loshchilov and F. Hutter Decoupled weight decay regularization. In International Con
6	1802.05957	s2	Spectral Normalization for Generative Adversarial Networks	**Miyato et al. (2018)** T. Miyato, T. Kataoka, M. Koyama, and Y. Yoshida Spectral normalization for generative adversar
7	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	**Nanda et al. (2023)** N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt Progress measures for grokking via m
8	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	**Power et al. (2022)** A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra Grokking: generalization beyond over
9	2206.04817	id		**Thilak et al. (2022)** V. Thilak, E. Littwin, S. Zhai, O. Saremi, R. Paiss, and J. Susskind The slingshot mechanism: a
10	2504.16041	id		**Tveit et al. (2025)** A. Tveit et al. Muon optimizer accelerates grokking. arXiv preprint arXiv:2504.16041. Cited by: 
11	2309.02390	id		**Varma et al. (2023)** V. Varma, R. Shah, Z. Kenton, J. Kramár, and R. Kumar Explaining grokking through circuit effici
