# no	arxiv	source	title per Semantic Scholar	entry
1	2310.05644	s2	Diagnosing Catastrophe: Large parts of accuracy loss in continual learning can be accounted for by r	D. Anthes, S. Thorat, P. König, and T. C. **[p. 33]** Kietzmann (2023) Diagnosing catastrophe: large parts of accuracy l
2	2605.27078	id		C. Chou, O. Uzdelewicz, N. Chiu, Y. Yang, and S. Chung (2026) Two speeds of learning: a representation-readout decomposi
3	2302.03025	s2	A Toy Model of Universality: Reverse Engineering How Networks Learn Group Operations	B. Chughtai, L. Chan, and N. Nanda (2023) A toy model of universality: reverse engineering how networks learn group oper
4		s2	A mathematical framework for transformer circuits	N. Elhage, N. Nanda, C. Olsson, T. Henighan, N. Joseph, B. Mann, A. Askell, Y. Bai, A. Chen, T. Conerly, N. DasSarma, D.
5	2604.13082	id		L. Gomezjurado Gonzalez (2026) The long delay to arithmetic generalization: when learned representations outrun behavior
6		s2	hidden layers	K. Jordan, Y. Jin, V. Boza, J. You, F. Cesista, L. Newhouse, and J. Bernstein (2024) Muon: an optimizer for hidden layer
7	2502.16982	id		J. Liu et al. (2025) Muon is scalable for LLM training. arXiv preprint arXiv:2502.16982. External Links: Link Cited by: 
8	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt (2023) Progress measures for grokking via mechanistic interp
9	2201.02177	id		A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra (2022) Grokking: generalization beyond overfitting on small 
10	2506.04434	s2	Grokking and Generalization Collapse: Insights from HTSR theory	H. K. Prakash and C. H. Martin (2025) Grokking and generalization collapse: insights from HTSR theory. In HiLD Workshop 
11	2501.04697	s2	Grokking at the Edge of Numerical Stability	L. Prieto, M. Barsbey, P. A. M. Mediano, and T. Birdal (2025) Grokking at the edge of numerical stability. In Internatio
12	2606.09658	id		T. Ruan, F. Zhang, S. Wang, and S. Zhang (2026) Muon learns more robust and transferable features than adam. arXiv prepr
13	2206.04817	id		V. Thilak, E. Littwin, S. Zhai, O. Saremi, R. Paiss, and J. **[p. 34]** Susskind (2022) The slingshot mechanism: an empi
14	2504.16041	id		A. Tveit, B. Remseth, and A. Skogvold (2025) Muon optimizer accelerates grokking. arXiv preprint arXiv:2504.16041. Exter
15	2309.02390	id		V. Varma, R. Shah, Z. Kenton, J. Kramár, and R. Kumar (2023) Explaining grokking through circuit efficiency. arXiv prepr
16	2509.26030	id		S. Wang, F. Zhang, J. Li, C. Du, C. Du, T. Pang, Z. Yang, M. Hong, and V. Y. F. Tan (2025) Muon outperforms adam in tail
17	2607.20512	id		Y. Wang (2026) The active ingredient in muon’s grokking. arXiv preprint arXiv:2607.20512. External Links: Link Cited by:
18	2306.17844	s2	The Clock and the Pizza: Two Stories in Mechanistic Explanation of Neural Networks	Z. Zhong, Z. Liu, M. Tegmark, and J. Andreas (2023) The clock and the pizza: two stories in mechanistic explanation of n
